code,name,type,vintage,bottleprice,caseprice,class
103,Quint,Purple,1999-02-19 02:33:33,$117.98,$382.81,924
104,Wade,Green,2004-04-27 22:04:38,$953.22,$795.22,648
105,Lothaire,Turquoise,1934-02-25 00:24:57,$579.87,$889.12,812
106,Roseanna,Puce,1975-09-04 19:52:38,$452.07,$695.15,146
107,Cosmo,Violet,1919-12-17 13:19:56,$532.86,$397.90,861
108,Rickie,Blue,1956-03-25 08:25:41,$776.19,$0.04,562
109,Anna,Maroon,1990-06-07 15:53:42,$425.70,$704.41,314
110,Dionis,Purple,1978-01-15 09:33:32,$502.07,$652.91,71
111,Asher,Khaki,1936-08-06 04:36:35,$71.06,$829.60,684
112,Mohammed,Teal,2006-09-19 11:53:22,$831.97,$78.15,375
113,Mayer,Violet,2010-02-19 16:10:44,$109.47,$793.98,721
114,Chas,Purple,1988-07-13 19:23:01,$896.25,$160.35,778
115,Noreen,Aquamarine,2015-06-20 02:58:49,$653.94,$515.06,47
116,Rosanne,Fuscia,2007-03-12 06:17:23,$165.48,$709.80,949
117,Terrijo,Teal,1996-12-13 05:55:48,$679.80,$527.84,328
118,Afton,Crimson,1937-03-25 05:44:29,$619.95,$956.15,519
119,Mersey,Orange,2002-11-28 13:36:58,$762.36,$564.82,970
120,Edgar,Crimson,2004-04-27 05:36:33,$137.81,$410.65,779
121,Abbi,Yellow,1958-05-02 02:49:07,$899.81,$31.06,40
122,Selestina,Fuscia,1969-04-08 02:21:15,$890.37,$81.50,408
123,Griffie,Violet,2009-02-28 04:00:59,$727.03,$717.13,196
124,Sisile,Orange,1945-08-11 18:47:22,$576.18,$102.85,590
125,Clerc,Teal,2011-04-16 06:07:08,$33.98,$46.01,45
126,Roley,Green,1942-09-02 11:56:37,$18.75,$563.21,903
127,Joaquin,Purple,1993-12-03 17:37:19,$902.25,$870.32,81
128,Reilly,Pink,1916-04-09 03:01:54,$722.64,$623.07,152
129,Hubie,Mauv,1930-12-14 23:22:54,$7.13,$17.48,612
130,Derk,Pink,2009-10-14 01:58:39,$485.63,$728.62,871
131,Benedetta,Fuscia,1929-12-25 04:01:25,$889.29,$266.73,361
132,Harris,Purple,1994-06-19 09:24:48,$983.52,$574.73,362
133,Jackie,Green,1949-07-15 22:31:44,$511.55,$820.54,472
134,Diann,Purple,1902-05-06 05:47:13,$810.67,$558.90,142
135,Camala,Indigo,1982-10-02 03:23:40,$300.88,$440.28,646
136,Rheta,Green,1900-02-12 11:44:25,$258.94,$929.96,707
137,Fee,Fuscia,1972-04-28 16:50:53,$22.12,$749.06,380
138,Gabriela,Maroon,1962-02-04 05:52:52,$806.22,$281.33,50
139,Gillian,Orange,1974-10-01 15:10:52,$400.59,$447.32,13
140,Albertine,Crimson,1948-09-26 00:18:05,$680.92,$676.94,156
141,Mikaela,Green,1992-06-15 14:25:18,$965.27,$357.66,928
142,Salvidor,Blue,1961-01-21 21:22:47,$122.27,$503.59,866
143,Goddart,Maroon,1979-05-15 19:59:08,$298.71,$841.78,252
144,Mahmud,Red,1937-01-13 07:45:10,$651.78,$732.98,433
145,Tobye,Blue,1902-03-16 11:21:02,$429.36,$357.29,180
146,Ganny,Aquamarine,1927-11-20 18:49:10,$953.28,$222.85,30
147,Rhona,Maroon,1934-12-14 02:04:12,$48.44,$480.40,498
148,Marin,Crimson,1989-01-30 00:14:18,$500.71,$317.27,875
149,Glenden,Blue,2014-12-14 02:30:27,$140.55,$259.74,371
150,Daren,Mauv,1905-07-24 14:12:30,$755.00,$105.74,603
151,Jermayne,Violet,1977-08-02 16:26:57,$954.28,$251.47,137
152,Spike,Turquoise,1944-01-31 23:45:52,$677.69,$865.18,371
153,Justen,Aquamarine,1913-12-10 14:51:48,$535.81,$105.20,993
154,Clarence,Puce,2000-05-18 18:54:49,$617.32,$703.42,803
155,Terry,Orange,1969-02-18 16:18:26,$293.38,$860.72,106
156,Gaye,Turquoise,1961-08-19 08:41:28,$883.04,$764.73,13
157,Debora,Yellow,1938-05-14 21:04:39,$92.50,$218.29,117
158,Dannie,Maroon,1972-10-12 11:29:14,$111.42,$273.41,312
159,Antons,Teal,1988-09-30 05:00:48,$106.16,$455.82,827
160,Carolyne,Turquoise,1945-01-11 00:29:21,$18.69,$252.35,441
161,Bradney,Aquamarine,1919-01-25 11:47:11,$587.70,$25.83,501
162,Benedetto,Khaki,1944-03-19 16:09:20,$338.95,$871.29,408
163,Rab,Khaki,1940-05-15 23:31:46,$480.40,$98.26,752
164,Luigi,Fuscia,1911-03-30 02:35:38,$197.32,$236.58,662
165,Teodora,Crimson,1959-08-19 11:08:19,$361.73,$292.60,693
166,Luz,Blue,1945-11-17 20:49:19,$798.71,$729.87,64
167,Ty,Turquoise,1946-08-11 23:50:36,$128.81,$581.47,359
168,Dorine,Green,1903-02-19 10:21:51,$515.75,$284.65,903
169,Angelo,Pink,1923-12-20 00:04:23,$744.67,$922.45,979
170,Arri,Crimson,1919-11-17 23:55:47,$339.29,$100.70,442
171,Kate,Maroon,1983-07-26 20:21:33,$515.37,$209.35,207
172,Darelle,Turquoise,1993-11-19 11:00:43,$793.16,$341.16,649
173,Bonita,Fuscia,1928-01-28 23:27:21,$602.86,$215.37,196
174,Opal,Green,1939-01-05 04:53:28,$390.28,$85.81,25
175,Katharine,Maroon,1986-05-07 17:45:23,$928.97,$387.72,413
176,Laurette,Turquoise,1967-10-22 23:57:39,$404.74,$41.75,450
177,Carleen,Red,2006-05-27 06:48:14,$31.25,$172.92,460
178,Susann,Violet,1963-08-23 21:30:31,$539.35,$737.17,915
179,Patience,Green,2006-07-04 04:44:09,$497.19,$272.95,376
180,Jaymie,Indigo,1984-04-23 20:42:27,$893.91,$829.67,361
181,Tome,Yellow,1975-03-10 17:41:35,$449.81,$53.86,810
182,Bo,Khaki,1936-04-30 14:45:48,$278.38,$84.31,170
183,Luci,Teal,1951-12-16 11:18:30,$601.95,$396.91,547
184,Gail,Green,1939-09-10 23:40:57,$266.11,$547.86,224
185,Imogen,Yellow,1929-11-18 13:49:28,$86.91,$199.85,96
186,Toby,Indigo,1947-01-18 01:34:13,$139.17,$172.94,730
187,Esma,Indigo,1962-08-27 02:33:13,$752.79,$473.26,948
188,Bonny,Turquoise,2014-11-27 21:58:54,$609.41,$309.48,601
189,Reeba,Blue,1959-08-16 16:29:38,$789.57,$349.40,797
190,Gerty,Orange,1911-07-07 16:35:25,$318.51,$608.35,797
191,Sal,Teal,1989-03-29 22:51:33,$609.22,$495.39,152
192,Amby,Violet,1984-08-15 13:21:30,$957.78,$879.55,373
193,Ogdon,Pink,1935-04-15 09:55:45,$792.78,$125.63,340
194,Lonni,Teal,1922-05-19 07:54:03,$94.68,$305.94,289
195,Mikol,Fuscia,1976-05-23 12:22:14,$931.00,$196.76,63
196,Vilhelmina,Green,1995-11-24 23:19:31,$834.21,$382.64,787
197,Dulci,Turquoise,1944-04-09 13:04:58,$175.90,$59.34,62
198,Michale,Fuscia,1950-03-03 00:41:05,$148.85,$801.42,721
199,Emanuele,Puce,1914-03-16 06:31:09,$449.34,$397.55,984
200,Simonne,Yellow,1981-07-04 13:17:59,$369.85,$4.86,973
201,Anderea,Blue,1964-05-10 20:27:59,$886.20,$636.26,741
202,Shandie,Indigo,1950-01-11 13:19:53,$174.80,$769.16,357
203,Clotilda,Mauv,1984-06-10 01:08:40,$764.18,$7.13,649
204,Dominick,Teal,1984-03-22 17:42:37,$315.94,$398.76,745
205,Patrizius,Khaki,1996-11-15 11:07:59,$10.25,$678.46,491
206,Arlyne,Red,1945-09-05 22:31:08,$985.80,$84.89,822
207,Jessamine,Khaki,2002-09-08 05:54:52,$98.61,$837.02,181
208,Kelly,Aquamarine,1927-05-27 15:00:43,$955.01,$839.77,330
209,Land,Indigo,1929-12-30 01:59:20,$943.79,$923.67,323
210,Aurie,Turquoise,1964-03-18 12:12:21,$395.69,$100.72,222
211,Mariquilla,Aquamarine,1954-03-25 09:09:21,$963.23,$859.55,255
212,Fredi,Aquamarine,1994-09-04 17:47:59,$276.52,$420.77,359
213,Whitney,Puce,1976-05-09 02:46:50,$16.91,$808.77,446
214,Johnnie,Mauv,1950-09-30 02:07:45,$785.51,$286.10,40
215,Corrinne,Blue,1997-01-31 14:23:09,$73.88,$848.41,606
216,Violetta,Khaki,2000-10-10 12:32:11,$672.37,$532.93,718
217,Adolpho,Aquamarine,1942-02-03 07:23:35,$11.66,$213.36,10
218,Claire,Purple,1922-04-18 14:13:47,$707.91,$591.05,312
219,Rutherford,Blue,1939-08-21 01:24:08,$848.32,$626.00,360
220,Halimeda,Red,1922-10-16 16:36:59,$61.08,$845.57,914
221,Brinn,Indigo,1931-05-31 13:07:15,$386.22,$741.36,491
222,Giraud,Mauv,1977-08-30 17:29:43,$158.48,$628.81,365
223,Harold,Violet,1993-02-18 16:56:01,$859.50,$962.70,151
224,Clarie,Maroon,1970-08-22 13:04:36,$889.43,$913.58,221
225,Wilona,Indigo,2012-05-18 17:34:55,$464.98,$650.74,867
226,Lacee,Blue,1950-04-01 09:35:57,$926.23,$336.46,976
227,Wake,Teal,1982-12-06 14:49:53,$836.36,$479.30,16
228,Albina,Green,1974-04-08 14:54:53,$915.91,$532.74,232
229,Eveleen,Crimson,2012-11-06 21:48:35,$934.73,$637.62,978
230,Jackqueline,Goldenrod,1917-10-21 06:40:56,$975.87,$613.18,300
231,Ronda,Yellow,1959-01-18 14:07:14,$517.03,$457.88,888
232,Josephine,Indigo,1947-08-24 04:15:30,$484.15,$857.60,39
233,Dan,Goldenrod,1997-04-13 11:33:51,$635.11,$520.59,51
234,Haven,Turquoise,1911-02-11 18:35:39,$924.07,$734.73,305
235,Jasmin,Crimson,1960-11-21 17:15:34,$780.07,$696.97,148
236,Aila,Red,2005-12-31 17:51:51,$720.61,$709.53,597
237,Gwenora,Maroon,1939-08-24 15:10:43,$502.35,$439.92,807
238,Kellen,Maroon,1920-07-05 01:08:54,$845.32,$745.79,67
239,Ailey,Violet,1945-09-19 19:38:44,$625.93,$710.73,87
240,Hugh,Yellow,1900-06-20 11:49:12,$36.61,$308.80,951
241,Lurette,Yellow,1994-04-15 04:01:24,$113.92,$907.24,108
242,Maynard,Violet,1973-04-26 21:05:51,$433.80,$470.56,696
243,Marje,Indigo,1957-12-07 18:00:49,$564.63,$117.97,382
244,Mia,Violet,1936-01-28 00:22:26,$810.22,$726.32,484
245,Lester,Pink,1915-09-16 10:06:07,$829.58,$859.93,950
246,Joshuah,Goldenrod,1972-03-29 18:04:13,$36.14,$696.09,826
247,Geralda,Puce,1949-02-10 10:09:36,$999.38,$173.29,926
248,Adrian,Crimson,1912-11-06 16:08:18,$654.96,$457.48,14
249,Linell,Mauv,1941-07-31 08:07:45,$179.17,$318.01,841
250,Tristam,Puce,1914-10-23 19:57:53,$529.06,$948.84,301
251,Willie,Goldenrod,1970-05-16 22:14:01,$259.52,$195.51,426
252,Jacqueline,Red,1949-08-05 07:11:41,$506.90,$355.93,193
253,Wells,Pink,1949-03-07 17:58:25,$457.75,$284.18,376
254,Dionysus,Mauv,1986-04-06 14:40:05,$770.97,$735.18,773
255,Iago,Khaki,1949-04-14 13:46:13,$244.92,$431.60,244
256,Raoul,Indigo,1908-07-21 17:43:14,$967.99,$441.13,283
257,Kala,Khaki,1938-07-11 16:00:30,$790.76,$564.83,535
258,Lesli,Yellow,1924-09-01 00:57:56,$418.52,$883.96,151
259,Callida,Purple,1972-08-03 00:18:18,$549.38,$470.24,454
260,Hall,Pink,1900-02-02 10:11:55,$807.59,$323.69,460
261,Greggory,Violet,1965-09-04 14:12:10,$825.74,$563.38,327
262,Merry,Purple,1969-06-18 15:55:58,$590.74,$737.86,276
263,Bondon,Teal,1924-11-07 05:34:39,$573.77,$744.69,533
264,Aimee,Orange,1989-10-18 18:19:42,$890.28,$736.39,93
265,Antonia,Mauv,1977-03-07 07:16:23,$287.98,$808.19,682
266,Gaston,Purple,1995-09-22 10:39:01,$307.06,$740.17,494
267,Saidee,Yellow,1955-10-25 21:08:34,$875.07,$132.27,405
268,Mirabella,Indigo,1929-07-02 14:50:14,$930.36,$154.70,858
269,Joyann,Pink,1901-07-11 16:39:46,$676.63,$328.42,520
270,Tamarah,Khaki,1905-10-30 06:01:11,$731.36,$780.72,245
271,Ranique,Orange,1997-03-08 15:10:22,$219.19,$145.05,554
272,Goran,Blue,2013-06-26 04:58:29,$30.32,$388.12,88
273,Antonina,Fuscia,1992-05-19 19:35:31,$699.07,$872.88,329
274,Dolf,Violet,2016-06-02 11:17:02,$576.00,$203.99,669
275,Toiboid,Teal,1973-01-01 11:37:55,$882.94,$300.07,609
276,Lilia,Puce,1983-09-24 15:10:27,$423.12,$608.61,344
277,Tybie,Blue,1927-11-30 16:53:12,$362.49,$162.01,778
278,Jamima,Goldenrod,1934-11-08 14:08:25,$105.75,$295.62,813
279,Noam,Green,1962-12-01 11:37:50,$825.85,$366.26,168
280,Caleb,Crimson,1994-10-29 19:09:19,$456.60,$305.82,902
281,Katuscha,Indigo,1986-12-23 23:14:47,$106.80,$388.61,369
282,Dudley,Indigo,2014-06-30 15:11:09,$678.74,$852.55,57
283,Maurizio,Teal,1931-10-10 20:26:43,$589.32,$416.46,138
284,Jerry,Orange,1931-06-23 17:42:20,$131.18,$798.01,876
285,Bryant,Khaki,1916-03-02 05:29:53,$929.93,$311.11,914
286,Greggory,Goldenrod,1970-01-17 07:03:20,$643.06,$702.44,606
287,Essie,Crimson,1949-09-15 01:39:27,$218.52,$4.58,441
288,Ginger,Turquoise,1963-11-27 23:11:10,$907.79,$177.26,2
289,Amalea,Blue,1934-10-08 08:14:06,$317.33,$575.88,64
290,Jacinthe,Yellow,1967-07-19 10:29:23,$854.60,$181.08,612
291,Marleen,Blue,2015-02-10 15:42:51,$464.34,$102.29,26
292,Cyndie,Turquoise,1957-03-07 19:58:23,$893.71,$31.27,151
293,Prinz,Orange,1921-03-08 23:31:26,$503.10,$506.14,388
294,Cheri,Blue,2013-12-10 16:34:57,$863.51,$165.41,632
295,Randie,Red,1954-11-23 00:08:59,$373.89,$123.90,984
296,Allard,Indigo,1969-10-26 23:27:34,$746.32,$526.75,259
297,Lorelle,Teal,1983-01-01 06:48:18,$807.04,$905.73,560
298,Irwinn,Goldenrod,1906-02-25 20:21:15,$776.22,$317.56,953
299,Sidonnie,Purple,1989-03-09 10:51:53,$125.43,$367.02,937
300,Mair,Blue,2008-03-30 07:16:01,$119.54,$935.97,72
301,Davie,Puce,1965-07-06 14:37:25,$376.43,$130.54,129
302,Hagen,Aquamarine,1920-03-15 03:29:10,$205.90,$335.44,637
303,Kit,Turquoise,1958-10-02 11:03:17,$186.67,$186.39,883
304,Zelig,Orange,1932-07-21 18:12:29,$939.20,$16.28,971
305,Letta,Indigo,1927-07-08 15:55:10,$502.43,$688.94,239
306,Dyane,Blue,1964-09-26 08:53:39,$652.90,$78.97,295
307,Cornell,Violet,1952-07-30 03:43:52,$243.93,$729.07,607
308,Sherye,Aquamarine,1950-02-22 22:20:58,$408.22,$521.49,778
309,Marne,Green,1937-11-01 01:36:04,$543.22,$537.82,916
310,Ferrell,Turquoise,1980-12-30 17:51:43,$371.58,$995.13,118
311,Moise,Fuscia,1975-06-01 19:39:44,$167.22,$357.62,439
312,Richart,Indigo,1941-12-12 07:12:46,$569.66,$623.16,961
313,Lewiss,Indigo,1920-09-08 15:33:52,$613.76,$953.96,564
314,Malory,Yellow,2008-12-02 18:53:02,$969.77,$223.86,494
315,Sukey,Aquamarine,1979-07-20 01:20:59,$949.73,$308.15,799
316,Kermie,Mauv,2010-01-22 17:58:40,$662.56,$840.50,718
317,Dick,Red,1915-12-29 07:14:33,$632.96,$321.34,709
318,Reginald,Indigo,1949-08-14 00:46:15,$756.16,$769.69,207
319,Philippine,Purple,1910-04-29 16:16:27,$229.32,$245.74,172
320,Rosmunda,Aquamarine,1943-11-27 14:24:35,$119.89,$450.96,381
321,Issi,Indigo,1990-02-27 11:19:55,$821.39,$802.72,576
322,Dag,Purple,1987-08-20 03:35:12,$305.83,$797.83,148
323,Bethina,Aquamarine,1917-09-06 13:46:45,$227.27,$323.92,574
324,Arleen,Indigo,1991-07-28 12:15:27,$982.03,$809.13,79
325,Jacqueline,Crimson,1964-11-08 13:54:39,$815.75,$877.34,527
326,Buffy,Yellow,1917-09-01 07:40:20,$347.14,$831.69,627
327,Ula,Pink,1999-09-17 18:43:28,$118.75,$846.69,60
328,Arleen,Maroon,1906-06-01 01:14:38,$722.89,$686.96,68
329,Taddeo,Violet,1956-06-16 18:45:20,$376.37,$39.21,981
330,Roseline,Violet,1976-02-29 09:39:27,$357.28,$43.39,647
331,Faustina,Pink,1998-06-19 17:55:12,$270.78,$603.36,275
332,Agatha,Goldenrod,1987-01-30 04:57:50,$113.97,$409.33,666
333,Leoline,Purple,2016-07-25 11:00:58,$750.39,$710.44,548
334,Sal,Violet,2000-06-19 05:13:41,$736.29,$512.70,321
335,Lonnard,Maroon,1954-10-29 04:40:55,$613.22,$786.43,82
336,Joy,Crimson,1911-04-15 15:22:29,$444.04,$680.04,323
337,Gothart,Orange,1992-12-01 09:18:42,$151.51,$893.78,185
338,Sarina,Khaki,1973-08-07 20:17:31,$301.10,$733.22,902
339,Joanie,Maroon,1999-12-29 11:11:33,$515.08,$334.58,954
340,Ibrahim,Yellow,2009-08-03 22:46:15,$733.25,$441.48,333
341,Che,Orange,1942-01-27 08:50:40,$5.27,$553.07,89
342,Eldon,Aquamarine,1909-11-18 07:43:24,$866.57,$898.90,347
343,Jayne,Indigo,1950-09-17 11:01:28,$890.26,$165.35,807
344,Nadya,Mauv,1930-04-14 05:26:27,$75.60,$678.75,476
345,Dougy,Violet,1944-05-01 00:30:23,$590.86,$603.45,170
346,Janela,Turquoise,1952-03-14 19:58:30,$456.31,$599.64,368
347,Leif,Blue,1996-06-10 07:47:27,$413.83,$70.38,513
348,Gabie,Goldenrod,1982-04-07 03:47:29,$30.25,$498.09,116
349,Obadias,Red,1920-12-19 08:25:34,$333.88,$680.89,155
350,Ralina,Khaki,1977-08-02 07:28:32,$408.14,$990.52,482
351,Eartha,Purple,1912-01-11 04:55:31,$527.65,$392.23,764
352,Bailey,Turquoise,1927-10-05 08:39:49,$181.45,$261.54,765
353,Gonzalo,Teal,1957-08-16 18:07:43,$22.18,$893.25,965
354,Roda,Fuscia,1997-12-17 20:44:19,$641.90,$457.69,780
355,Cori,Green,1915-01-26 22:58:52,$529.26,$523.14,618
356,Nikolia,Purple,1943-05-01 05:32:30,$948.08,$802.77,659
357,Eduardo,Red,1901-02-03 18:17:44,$242.29,$873.93,442
358,Chloris,Khaki,1943-04-09 15:42:40,$133.21,$70.36,591
359,Claire,Maroon,1952-08-08 18:48:35,$958.45,$969.21,795
360,Stesha,Pink,1994-05-26 22:26:36,$282.27,$59.47,826
361,Elyse,Mauv,1920-05-23 03:07:45,$416.21,$311.20,188
362,Kelley,Maroon,1963-01-22 03:39:47,$436.39,$628.58,155
363,Hadria,Teal,1985-02-15 17:13:43,$396.52,$258.09,338
364,Esmaria,Green,1900-05-05 01:14:15,$724.33,$290.92,913
365,Reyna,Violet,1936-02-14 02:53:39,$804.09,$231.13,168
366,Sherrie,Maroon,2017-02-19 12:10:54,$37.39,$462.24,974
367,Lydon,Indigo,1949-10-26 14:20:07,$612.80,$486.53,727
368,Carlota,Red,1999-04-24 19:00:32,$844.98,$182.44,393
369,Ancell,Indigo,2011-09-19 22:05:32,$413.17,$447.42,58
370,Major,Khaki,1939-05-28 20:10:37,$969.59,$917.73,483
371,Stevie,Blue,2002-08-22 19:34:39,$816.81,$984.74,199
372,Dawna,Red,1936-11-13 23:13:28,$586.03,$603.00,875
373,Babette,Khaki,2007-02-25 14:06:57,$616.51,$237.02,461
374,Elie,Maroon,2005-12-22 20:48:33,$612.29,$94.30,681
375,Ingamar,Teal,2006-07-24 10:44:13,$321.14,$232.64,150
376,Hannah,Red,1978-02-17 10:22:27,$155.27,$288.68,123
377,Missie,Green,1913-12-06 23:25:16,$427.78,$564.94,457
378,Tadeas,Goldenrod,1927-03-14 13:33:54,$283.88,$209.83,19
379,Rayner,Turquoise,1959-06-28 03:07:04,$381.26,$844.61,139
380,Birdie,Yellow,1936-02-09 17:16:01,$733.37,$336.01,379
381,Linzy,Orange,2003-02-13 12:33:42,$868.40,$591.83,519
