code,timeStamp,date,year
60,13:00:26.000,1995-04-09 01:58:44,1995
61,6:20:53.000,2005-01-01 03:04:20,2005
62,7:29:31.000,2003-05-11 08:30:27,2003
63,6:18:38.000,2008-01-16 00:17:01,2008
64,23:50:13.000,2016-09-05 16:24:59,2016
65,19:37:21.000,2007-06-27 06:58:15,2007
66,10:11:49.000,2016-11-07 11:25:25,2016
67,22:15:03.000,2006-12-23 20:59:39,2006
68,18:36:20.000,1995-05-01 06:32:46,1995
69,5:43:58.000,2001-07-07 17:12:25,2001
70,2:41:32.000,2008-01-12 11:54:35,2008
71,20:29:34.000,1993-06-25 23:30:49,1993
72,8:24:40.000,1998-03-05 11:22:32,1998
73,15:06:58.000,2017-04-12 15:03:38,2017
74,12:41:05.000,1993-09-09 02:45:22,1993
75,16:45:08.000,2008-08-30 02:11:07,2008
76,1:13:12.000,2008-03-29 15:30:46,2008
77,13:07:30.000,1993-01-19 16:09:58,1993
78,22:13:16.000,2002-11-06 05:50:51,2002
79,22:00:35.000,2005-04-05 10:46:47,2005
80,6:52:49.000,1992-12-26 02:12:50,1992
81,18:41:59.000,2009-09-24 05:59:59,2009
82,13:10:22.000,2013-07-26 03:01:07,2013
83,23:04:08.000,2000-11-27 04:47:34,2000
84,18:18:54.000,2010-08-08 02:40:00,2010
85,10:39:12.000,2004-08-02 19:38:10,2004
86,0:30:01.000,2010-12-24 16:41:06,2010
87,21:53:00.000,2002-03-23 10:05:33,2002
88,14:07:22.000,2006-05-21 23:35:44,2006
89,2:57:22.000,1992-10-03 20:03:35,1992
90,7:02:46.000,2006-03-04 08:26:57,2006
91,7:00:06.000,2001-09-01 07:26:29,2001
92,3:41:55.000,2011-04-03 06:19:07,2011
93,15:04:06.000,2005-04-03 05:19:13,2005
94,17:52:38.000,1996-01-19 23:55:18,1996
95,21:16:04.000,2009-03-08 03:44:01,2009
96,3:44:49.000,2004-03-14 07:57:03,2004
97,0:41:20.000,1998-12-01 20:42:45,1998
98,15:31:59.000,2004-02-24 10:47:39,2004
99,20:48:27.000,1999-11-13 19:07:16,1999
100,9:41:00.000,2012-07-29 08:51:03,2012
101,15:48:46.000,2011-02-03 05:44:30,2011
102,22:05:29.000,1992-01-25 02:01:00,1992
103,9:58:57.000,2008-06-27 16:33:45,2008
104,17:52:17.000,2011-09-15 20:33:23,2011
105,5:52:38.000,1995-02-13 16:57:32,1995
106,15:22:45.000,2001-09-20 14:44:38,2001
107,12:18:00.000,1992-08-01 00:23:41,1992
108,22:52:45.000,1994-04-04 08:42:41,1994
109,11:06:23.000,1990-12-09 16:41:48,1990
110,3:37:28.000,1995-02-22 03:33:58,1995
111,2:02:29.000,2013-12-13 00:20:05,2013
112,2:45:51.000,1994-03-01 02:43:16,1994
113,16:19:47.000,2005-03-25 16:06:46,2005
114,9:47:42.000,1999-04-14 20:13:38,1999
115,4:29:04.000,2010-09-19 19:24:37,2010
116,8:00:38.000,2011-07-12 19:59:54,2011
117,4:39:47.000,2013-09-19 00:35:02,2013
118,16:58:55.000,1991-12-19 05:48:32,1991
119,9:18:46.000,2000-07-10 20:01:06,2000
120,20:45:25.000,1996-04-28 17:53:11,1996
121,10:33:21.000,1995-07-18 18:13:41,1995
122,9:23:49.000,2015-10-15 08:44:05,2015
123,22:23:23.000,2016-03-22 14:31:19,2016
124,8:52:34.000,1994-12-04 04:03:28,1994
125,3:21:02.000,1990-04-01 16:20:47,1990
126,18:58:36.000,1997-10-27 20:22:17,1997
127,2:41:14.000,2004-08-02 08:52:32,2004
128,8:04:38.000,1998-02-16 23:39:26,1998
129,6:37:31.000,1998-11-17 10:24:48,1998
130,22:40:02.000,2013-07-08 05:52:40,2013
131,18:28:15.000,2008-09-16 08:58:48,2008
132,5:39:47.000,2017-02-14 14:08:39,2017
133,18:55:14.000,2005-02-03 06:20:47,2005
134,9:14:30.000,2008-07-25 20:44:43,2008
135,2:53:41.000,2012-12-12 21:17:53,2012
136,15:05:29.000,1991-07-13 21:54:03,1991
137,2:14:22.000,2001-03-19 21:56:37,2001
138,14:48:20.000,2016-03-30 13:29:19,2016
139,15:41:08.000,2008-04-05 12:46:01,2008
140,5:54:44.000,2016-10-27 02:00:40,2016
141,5:29:55.000,1990-04-04 12:03:39,1990
142,6:47:53.000,2016-08-13 11:13:43,2016
143,19:48:29.000,1990-06-12 15:48:26,1990
144,22:01:32.000,2015-09-23 10:26:30,2015
145,12:06:01.000,1995-12-04 09:48:40,1995
146,4:08:55.000,1996-07-11 10:26:10,1996
147,11:04:00.000,1995-02-07 18:44:23,1995
148,19:40:39.000,1992-03-30 23:24:19,1992
149,6:20:21.000,1992-12-13 14:56:22,1992
150,20:31:26.000,2004-10-30 08:20:13,2004
151,18:19:48.000,1992-06-01 10:10:44,1992
152,14:02:59.000,1992-02-09 22:09:44,1992
153,11:13:37.000,1991-11-30 13:52:00,1991
154,10:07:43.000,2007-04-07 20:36:25,2007
155,4:17:34.000,1998-10-20 15:58:10,1998
156,16:10:42.000,1996-02-08 00:15:32,1996
157,3:58:38.000,2003-07-29 22:26:29,2003
158,0:25:44.000,2001-05-28 19:15:44,2001
159,13:38:37.000,2014-06-19 23:57:39,2014
160,13:54:36.000,1992-08-08 10:37:07,1992
161,8:02:05.000,1991-05-03 00:29:15,1991
162,8:36:47.000,2001-10-31 05:33:17,2001
163,10:20:10.000,1996-04-24 10:54:11,1996
164,17:36:51.000,2002-08-15 19:39:47,2002
165,9:19:45.000,2002-01-21 13:18:04,2002
166,20:51:47.000,1993-07-09 05:06:45,1993
167,14:41:24.000,2006-02-01 07:39:48,2006
168,2:57:26.000,1993-08-20 22:48:18,1993
169,7:49:44.000,2002-01-21 04:06:06,2002
170,19:11:59.000,2014-07-08 13:02:02,2014
171,8:11:18.000,2011-07-17 07:38:03,2011
172,21:11:52.000,2000-12-01 05:53:24,2000
173,16:59:38.000,2013-05-19 20:28:05,2013
174,5:34:35.000,1994-09-29 07:14:46,1994
175,11:55:29.000,2001-03-16 03:16:26,2001
176,7:23:11.000,1992-01-10 10:48:08,1992
177,0:33:00.000,1991-09-12 01:40:03,1991
178,22:26:43.000,2004-09-17 05:39:21,2004
179,19:07:35.000,1991-11-03 15:59:02,1991
180,22:11:46.000,2011-09-27 04:05:10,2011
181,5:26:25.000,1996-02-08 13:22:04,1996
182,6:58:27.000,2005-12-05 22:03:44,2005
183,18:37:43.000,1996-10-20 15:04:37,1996
184,12:58:46.000,1996-10-02 12:04:32,1996
185,3:08:39.000,1990-07-21 00:48:36,1990
186,23:50:45.000,1997-06-15 18:14:39,1997
187,7:25:56.000,2009-09-12 02:26:52,2009
188,13:22:08.000,2005-02-11 06:45:11,2005
189,12:04:58.000,2005-10-24 23:23:50,2005
190,10:15:52.000,2013-09-12 03:15:04,2013
191,15:00:22.000,1990-07-18 16:59:05,1990
192,15:27:37.000,2006-02-11 07:24:11,2006
193,9:04:30.000,2016-01-02 16:51:06,2016
194,19:44:01.000,1991-12-02 07:32:50,1991
195,6:05:02.000,2017-01-09 05:57:25,2017
196,13:08:52.000,1992-04-08 19:24:20,1992
197,19:52:25.000,2011-08-03 04:56:37,2011
198,23:32:39.000,2013-11-10 06:28:00,2013
199,5:19:42.000,1997-12-22 20:05:58,1997
200,6:32:57.000,2006-07-24 13:10:58,2006
201,7:44:55.000,2014-09-05 13:20:23,2014
202,2:28:05.000,2005-01-27 22:22:57,2005
203,13:22:45.000,2008-05-18 13:38:41,2008
204,0:43:56.000,2017-02-08 18:24:44,2017
205,9:43:36.000,1990-04-06 09:46:00,1990
206,2:46:51.000,1997-06-20 22:31:42,1997
207,14:36:03.000,2013-07-12 00:02:27,2013
208,11:27:27.000,2015-10-21 21:03:36,2015
209,20:58:22.000,1993-10-23 06:43:10,1993
210,6:19:52.000,2005-04-16 03:08:12,2005
211,8:31:58.000,2001-02-14 03:15:49,2001
212,12:59:09.000,2010-05-18 01:49:16,2010
213,17:22:37.000,1997-10-15 10:41:22,1997
214,0:22:40.000,2015-03-07 20:14:51,2015
215,1:01:16.000,1996-05-06 05:52:16,1996
216,19:56:02.000,1996-12-31 06:27:39,1996
217,7:51:32.000,2015-05-01 03:43:51,2015
218,13:37:33.000,1991-10-22 18:50:04,1991
219,9:55:21.000,2008-01-23 16:56:49,2008
220,12:00:30.000,1990-04-09 15:25:44,1990
221,8:19:13.000,1990-12-27 16:56:03,1990
222,0:26:25.000,2011-07-12 18:31:11,2011
223,21:53:25.000,1991-04-05 09:20:04,1991
224,1:06:45.000,2013-11-09 00:23:05,2013
225,14:24:40.000,1993-06-18 09:08:24,1993
226,16:46:01.000,2000-09-01 17:06:51,2000
227,20:35:24.000,2002-06-25 02:17:08,2002
228,8:09:19.000,2002-11-13 15:00:40,2002
229,22:54:01.000,1999-05-25 09:13:57,1999
230,1:04:52.000,2004-06-06 21:34:24,2004
231,3:01:24.000,2010-07-08 09:13:04,2010
232,11:14:21.000,2000-01-04 11:51:29,2000
233,2:55:33.000,2002-12-21 21:35:46,2002
234,19:51:36.000,2014-02-19 13:32:07,2014
235,23:27:05.000,2015-12-03 16:11:57,2015
236,5:39:20.000,2017-03-26 09:07:13,2017
237,10:09:17.000,2006-03-31 11:12:19,2006
238,16:27:11.000,1997-10-29 03:10:36,1997
239,18:00:26.000,2001-01-08 22:37:27,2001
240,19:47:13.000,1997-09-27 09:02:25,1997
241,0:46:40.000,2011-05-08 18:22:42,2011
242,20:13:21.000,2014-05-27 05:30:20,2014
243,8:51:07.000,1996-05-18 23:00:32,1996
244,11:13:18.000,2010-04-06 02:19:23,2010
245,9:33:52.000,2013-04-29 00:29:37,2013
246,14:32:36.000,2008-02-05 18:23:28,2008
247,1:20:36.000,2001-10-11 06:25:08,2001
248,3:34:36.000,1995-06-12 22:50:24,1995
249,11:47:00.000,2010-12-27 00:34:22,2010
250,5:26:56.000,1998-09-15 17:04:00,1998
251,1:14:14.000,1998-12-14 13:45:26,1998
252,20:56:04.000,2001-03-11 02:39:08,2001
253,13:59:35.000,1993-08-29 08:08:20,1993
254,14:05:09.000,2009-12-14 04:47:16,2009
255,22:04:45.000,2007-06-01 07:11:09,2007
256,19:00:50.000,1999-11-15 10:44:54,1999
257,8:26:02.000,2013-01-09 21:30:01,2013
258,10:46:15.000,1991-07-22 09:17:14,1991
259,22:37:10.000,1992-04-07 17:29:05,1992
260,20:08:37.000,1999-03-11 20:16:48,1999
261,2:35:11.000,2009-03-27 23:51:21,2009
262,14:06:19.000,2010-11-21 21:53:12,2010
263,19:11:34.000,2013-02-11 19:25:51,2013
264,10:15:08.000,2005-03-10 10:13:35,2005
265,6:29:34.000,2003-09-02 07:33:04,2003
266,16:49:03.000,2015-02-20 11:01:47,2015
267,6:00:54.000,2014-10-06 05:01:32,2014
268,5:03:45.000,1998-01-05 12:35:06,1998
269,3:25:12.000,2008-10-31 21:16:56,2008
270,5:35:26.000,2009-09-11 22:27:32,2009
271,0:17:06.000,2000-02-18 20:03:04,2000
272,0:57:16.000,2004-06-11 05:50:08,2004
273,4:01:28.000,2003-09-29 05:26:31,2003
274,20:57:09.000,2003-02-06 04:28:06,2003
275,17:31:09.000,1999-09-03 13:57:20,1999
276,10:49:18.000,2013-01-03 17:16:37,2013
277,4:20:59.000,2014-01-30 16:05:29,2014
278,18:08:04.000,1995-04-15 06:47:24,1995
279,17:43:09.000,2004-06-19 16:22:49,2004
280,3:53:31.000,2009-02-19 07:29:23,2009
281,20:08:01.000,1991-02-08 17:05:13,1991
282,16:31:56.000,2003-06-28 14:30:07,2003
283,2:47:34.000,1996-09-09 05:47:51,1996
284,5:48:54.000,1999-02-13 03:05:31,1999
285,15:10:34.000,1996-01-18 00:59:07,1996
286,21:11:31.000,2006-11-17 02:55:55,2006
287,13:45:23.000,2002-07-11 21:05:05,2002
288,4:21:16.000,2002-04-07 10:50:39,2002
289,4:36:55.000,1998-12-31 18:31:15,1998
290,2:24:52.000,2003-08-05 11:31:19,2003
291,14:10:21.000,2004-09-02 07:14:46,2004
292,12:30:14.000,2002-04-30 19:15:55,2002
293,22:20:27.000,2013-01-20 20:05:11,2013
294,4:46:03.000,2000-03-01 06:54:42,2000
295,17:04:44.000,1990-08-25 17:01:25,1990
296,19:54:03.000,2006-09-25 02:10:16,2006
297,19:46:16.000,2011-06-10 02:52:54,2011
298,13:28:37.000,2004-07-14 01:50:48,2004
299,4:25:24.000,1999-08-06 12:33:41,1999
300,6:41:01.000,2006-02-14 00:44:47,2006
301,16:55:09.000,2011-01-17 01:51:51,2011
302,15:34:26.000,2016-08-12 13:37:45,2016
303,23:19:57.000,1997-02-28 22:10:42,1997
304,10:51:20.000,2015-04-04 13:46:22,2015
305,9:09:57.000,1996-08-16 16:53:39,1996
306,8:56:36.000,1994-11-21 04:43:10,1994
307,7:53:40.000,1992-04-24 08:30:07,1992
308,11:21:55.000,2007-01-28 06:16:30,2007
309,3:13:39.000,1998-06-10 15:53:24,1998
310,5:47:19.000,2001-07-03 06:04:19,2001
311,14:16:43.000,1990-10-17 01:28:46,1990
312,10:19:16.000,1997-12-07 22:44:03,1997
313,12:16:10.000,1995-06-19 01:15:50,1995
314,23:19:43.000,1999-11-19 15:48:21,1999
315,8:28:56.000,2008-08-30 08:18:44,2008
316,1:46:11.000,1996-01-11 06:36:28,1996
317,12:58:42.000,2008-10-22 15:36:38,2008
318,2:41:25.000,1996-03-28 14:46:27,1996
319,19:59:35.000,1991-02-06 02:53:37,1991
320,8:40:48.000,1994-10-28 04:42:38,1994
321,0:11:58.000,1999-04-13 15:56:16,1999
322,20:05:03.000,2000-03-03 09:06:08,2000
323,20:43:42.000,2016-01-22 13:51:24,2016
324,9:33:18.000,2008-10-16 18:58:03,2008
325,17:28:37.000,2008-03-07 04:15:48,2008
326,13:08:31.000,2001-04-09 06:11:53,2001
327,14:35:37.000,1993-01-02 19:18:19,1993
328,13:55:31.000,1998-12-18 15:49:17,1998
329,20:53:07.000,1994-08-05 16:04:02,1994
330,7:33:41.000,2013-04-27 22:19:58,2013
331,4:21:18.000,1991-12-28 19:22:29,1991
332,20:16:00.000,2003-06-09 08:12:44,2003
333,6:33:24.000,2009-02-16 10:39:14,2009
334,13:58:00.000,2014-06-27 12:55:27,2014
335,2:03:06.000,2004-06-11 13:33:04,2004
336,19:16:28.000,2001-03-07 22:19:03,2001
337,1:34:30.000,1997-03-14 21:18:07,1997
338,17:49:45.000,1998-02-06 09:34:52,1998
339,12:41:45.000,1998-01-24 03:38:36,1998
340,5:19:13.000,1994-08-04 18:51:28,1994
341,9:01:22.000,2005-10-05 08:18:44,2005
342,4:50:11.000,2010-03-30 21:43:13,2010
343,9:42:34.000,2016-01-19 19:20:35,2016
344,13:08:13.000,2001-10-19 23:48:52,2001
345,3:28:52.000,1993-02-13 07:13:03,1993
346,16:32:17.000,1999-05-29 07:30:38,1999
347,17:01:36.000,2012-07-12 15:03:25,2012
348,6:31:52.000,2007-05-01 05:17:46,2007
349,15:56:59.000,1999-09-08 11:55:15,1999
350,3:35:36.000,1996-04-21 03:59:24,1996
351,6:15:11.000,2006-11-10 06:18:25,2006
352,8:10:53.000,1998-10-24 17:21:49,1998
353,6:00:53.000,2000-03-16 10:06:10,2000
354,0:56:19.000,1995-08-22 11:52:57,1995
355,7:12:38.000,2015-01-11 01:02:06,2015
356,13:59:36.000,1990-05-23 09:24:52,1990
357,23:42:56.000,1992-03-27 16:55:38,1992
358,21:54:37.000,1995-01-03 11:19:57,1995
359,14:49:41.000,2001-05-17 17:36:30,2001
360,21:01:10.000,1997-06-09 10:40:43,1997
361,20:24:32.000,1993-04-18 16:08:27,1993
362,10:14:39.000,1990-02-26 02:55:50,1990
363,10:04:35.000,2000-12-04 23:42:36,2000
364,17:23:16.000,2004-08-09 06:29:49,2004
365,1:20:46.000,1992-07-28 03:07:33,1992
366,20:07:25.000,2006-03-21 16:43:32,2006
367,2:04:04.000,2000-03-07 20:15:12,2000
368,22:14:01.000,1997-02-16 22:14:07,1997
369,17:59:17.000,1992-01-12 17:15:44,1992
370,15:51:31.000,2009-01-31 00:14:36,2009
371,7:16:33.000,2008-11-09 01:12:12,2008
372,17:16:19.000,2005-01-07 11:20:58,2005
373,15:53:00.000,1996-09-28 17:00:02,1996
374,18:43:42.000,1995-03-25 18:58:48,1995
375,8:31:37.000,1998-07-05 19:19:38,1998
376,22:39:54.000,1994-05-24 08:49:13,1994
377,17:54:00.000,2014-04-23 13:49:15,2014
378,11:45:06.000,2015-03-19 15:25:15,2015
379,13:27:22.000,1992-10-24 06:34:31,1992
380,0:23:59.000,1998-04-22 05:27:07,1998
381,8:33:19.000,2008-06-26 04:50:04,2008
382,16:15:33.000,1995-11-16 20:47:41,1995
383,23:51:27.000,2008-10-15 16:47:29,2008
384,8:54:24.000,1991-01-08 20:58:55,1991
385,4:06:01.000,2014-06-18 14:08:07,2014
386,11:44:05.000,2005-06-28 06:46:30,2005
387,4:38:13.000,2010-04-15 03:49:51,2010
388,17:25:50.000,2004-06-27 21:28:11,2004
389,23:33:19.000,2011-04-23 19:31:04,2011
390,18:12:06.000,2002-01-18 09:11:27,2002
391,12:29:05.000,2008-11-08 12:03:17,2008
392,10:01:00.000,2008-03-23 23:49:34,2008
393,10:54:18.000,1993-08-05 02:55:06,1993
394,17:50:31.000,2000-05-25 10:54:27,2000
395,6:03:40.000,2010-09-13 08:53:21,2010
396,19:47:36.000,2004-10-14 20:20:13,2004
397,11:36:55.000,1996-05-24 13:35:09,1996
398,0:41:13.000,1994-03-02 11:41:44,1994
399,19:06:07.000,2004-08-27 22:01:45,2004
400,8:14:40.000,1995-04-17 06:21:24,1995
401,9:53:43.000,1995-12-08 05:04:59,1995
402,12:09:57.000,2015-03-29 16:06:35,2015
403,15:45:49.000,2005-10-24 09:08:43,2005
404,23:38:09.000,2011-02-26 10:11:35,2011
405,5:45:23.000,2001-03-13 04:51:15,2001
406,8:31:02.000,2010-05-20 12:11:52,2010
407,21:48:44.000,2012-12-12 09:07:29,2012
408,21:20:16.000,2003-07-27 00:20:13,2003
409,23:25:00.000,2002-10-14 03:03:54,2002
410,22:53:28.000,2006-09-17 21:42:03,2006
411,21:12:32.000,2010-02-04 05:38:57,2010
412,2:48:30.000,1995-03-09 13:07:04,1995
413,10:16:51.000,2008-04-02 01:01:16,2008
414,15:42:56.000,1997-04-24 11:51:09,1997
415,12:43:47.000,2012-09-27 01:29:56,2012
416,4:54:03.000,2008-02-17 17:41:23,2008
417,20:21:58.000,2012-10-11 13:34:09,2012
418,21:48:30.000,2011-04-14 01:30:11,2011
419,14:33:55.000,1997-05-25 07:52:06,1997
420,10:39:24.000,1995-04-03 06:55:16,1995
421,6:48:47.000,1996-05-03 08:13:03,1996
422,15:29:55.000,2011-04-25 08:57:30,2011
423,12:17:01.000,2002-11-17 03:22:09,2002
424,6:18:34.000,1990-01-07 12:13:53,1990
425,22:53:20.000,2010-05-03 11:24:29,2010
426,9:58:44.000,2015-06-04 02:12:52,2015
427,10:41:33.000,2012-05-11 06:48:08,2012
428,13:12:27.000,2004-04-13 08:03:59,2004
429,13:24:15.000,1991-07-13 19:30:48,1991
430,3:08:40.000,1990-09-19 23:55:12,1990
431,7:18:17.000,2004-05-06 10:43:19,2004
432,16:08:27.000,1991-03-26 07:45:23,1991
433,5:00:30.000,2005-04-02 11:58:47,2005
434,2:06:49.000,1996-08-21 13:38:43,1996
435,4:26:00.000,1998-11-12 23:22:43,1998
436,3:56:28.000,2011-10-09 07:32:54,2011
437,12:06:02.000,2000-05-17 09:51:54,2000
438,5:04:31.000,2014-05-23 06:30:28,2014
439,21:21:16.000,2017-01-16 16:26:57,2017
440,3:09:45.000,1999-11-15 01:29:58,1999
441,9:58:06.000,2005-07-10 07:02:49,2005
442,9:38:05.000,2003-11-03 16:12:20,2003
443,3:17:47.000,1991-08-20 18:44:06,1991
444,12:34:56.000,2002-11-14 04:14:08,2002
445,7:11:35.000,2004-03-26 11:52:20,2004
446,20:22:09.000,2009-02-04 20:17:30,2009
447,18:50:05.000,2006-10-15 18:23:53,2006
448,5:10:43.000,1999-04-06 17:24:53,1999
449,3:43:35.000,2006-09-23 03:15:16,2006
450,9:18:38.000,2017-01-15 22:14:34,2017
451,3:10:42.000,2014-04-04 10:41:52,2014
452,5:31:25.000,2002-09-06 18:34:08,2002
453,13:58:27.000,2001-11-12 06:51:12,2001
454,21:08:41.000,2008-02-10 19:03:48,2008
455,21:44:46.000,2017-01-16 20:30:47,2017
456,21:26:37.000,2013-09-24 08:35:38,2013
457,2:29:29.000,2008-11-18 07:44:14,2008
458,20:27:28.000,2016-11-30 11:48:14,2016
459,13:32:18.000,2008-04-29 13:51:49,2008
460,11:46:54.000,2005-08-10 04:32:38,2005
461,9:09:07.000,1999-08-20 20:13:12,1999
462,1:08:02.000,2014-08-14 05:34:58,2014
463,8:18:22.000,2008-02-20 22:40:09,2008
464,9:28:05.000,1997-07-15 19:03:29,1997
465,18:46:56.000,1991-02-04 05:16:53,1991
466,16:35:11.000,2015-11-21 06:35:49,2015
467,3:08:09.000,2008-01-10 10:08:38,2008
468,8:33:12.000,1996-05-26 09:53:02,1996
469,11:29:58.000,1999-07-30 22:30:38,1999
470,18:47:21.000,1994-07-11 07:04:33,1994
471,5:55:06.000,1997-12-31 02:18:31,1997
472,23:17:51.000,1990-09-26 00:48:40,1990
473,17:42:26.000,1997-08-16 13:34:59,1997
474,16:06:55.000,2015-05-10 07:11:34,2015
475,8:41:10.000,2007-03-09 21:50:55,2007
476,0:47:06.000,2013-06-22 22:52:22,2013
477,19:40:43.000,1994-12-29 09:51:10,1994
478,1:44:58.000,1994-01-27 08:26:52,1994
479,2:18:45.000,2004-06-12 04:22:26,2004
480,15:55:15.000,2003-11-25 18:52:53,2003
481,17:42:30.000,1995-12-30 15:00:32,1995
482,8:15:54.000,2008-06-05 23:48:05,2008
483,13:50:45.000,2002-10-14 14:15:32,2002
484,19:51:27.000,2007-01-01 09:06:48,2007
485,13:43:41.000,2002-08-14 01:03:18,2002
486,13:47:34.000,2009-04-21 08:04:23,2009
487,2:06:45.000,2004-03-29 08:26:57,2004
488,20:24:21.000,2001-05-16 03:10:57,2001
489,0:38:48.000,2011-11-27 00:43:17,2011
490,7:38:19.000,2015-04-24 04:55:29,2015
491,1:07:05.000,1992-12-21 22:44:05,1992
492,19:19:05.000,2015-10-18 05:38:38,2015
493,19:15:51.000,1994-06-30 04:40:49,1994
494,23:47:56.000,1994-06-19 16:05:21,1994
495,0:22:11.000,2016-05-17 14:58:46,2016
496,4:14:22.000,2004-08-13 10:51:46,2004
497,22:48:31.000,2013-08-01 22:27:38,2013
498,12:27:05.000,2000-11-30 06:36:17,2000
499,10:00:31.000,1997-10-15 21:26:35,1997
500,0:31:34.000,2000-06-12 16:55:00,2000
501,19:55:15.000,1994-12-09 06:23:17,1994
502,23:51:49.000,2015-09-28 13:47:21,2015
503,20:20:14.000,2013-07-04 07:08:44,2013
504,4:06:16.000,1994-12-21 18:20:34,1994
505,23:14:25.000,2012-12-25 19:14:50,2012
506,20:55:08.000,1993-05-12 23:02:59,1993
507,7:39:49.000,2007-12-27 16:32:56,2007
508,23:25:56.000,2000-09-05 01:03:53,2000
509,20:27:58.000,1997-10-17 04:23:11,1997
510,16:17:40.000,2006-07-24 03:41:24,2006
511,22:39:19.000,2006-07-11 10:07:51,2006
512,8:06:30.000,1998-12-08 04:41:03,1998
513,17:10:02.000,2015-09-12 14:17:54,2015
514,9:27:54.000,2012-02-09 02:22:01,2012
515,3:07:31.000,2015-08-12 03:54:09,2015
516,13:55:44.000,2014-11-14 18:50:18,2014
517,5:17:31.000,2008-06-21 21:39:48,2008
518,14:57:30.000,1992-07-22 23:53:26,1992
519,10:28:47.000,2008-07-06 01:07:27,2008
520,11:14:51.000,2013-10-25 14:50:42,2013
521,11:52:13.000,2013-08-09 02:03:41,2013
522,8:04:10.000,2001-01-03 13:39:34,2001
523,5:29:18.000,1993-05-05 16:10:30,1993
524,1:00:15.000,2002-02-08 12:29:19,2002
525,18:39:09.000,1998-10-24 06:01:05,1998
526,0:58:23.000,2000-12-21 22:09:01,2000
527,19:06:49.000,1994-12-01 12:07:18,1994
528,9:14:42.000,2013-03-15 00:58:09,2013
529,14:33:46.000,1991-04-28 18:44:29,1991
530,11:16:25.000,1992-02-19 08:56:13,1992
531,0:31:46.000,2000-07-31 08:16:35,2000
532,7:03:42.000,2002-12-25 03:43:38,2002
533,10:33:34.000,2005-12-09 04:00:29,2005
534,16:07:42.000,1996-03-02 20:18:19,1996
535,0:27:14.000,2015-09-09 04:32:37,2015
536,4:01:50.000,1991-09-30 06:46:24,1991
537,4:51:24.000,2004-09-13 19:35:02,2004
