id,nombre,precio,localidad,tipoProducto
75,Kippy,$429.42,4,10
76,Keelia,$850.38,9,7
77,Norbie,$654.41,3,2
78,Dov,$209.32,7,7
79,Gusella,$757.11,6,5
80,Des,$82.80,9,6
81,Ursa,$68.56,9,2
82,Felita,$124.69,5,2
83,Darda,$15.45,10,2
84,Englebert,$572.52,8,5
85,Haskel,$526.26,7,8
86,Fifine,$177.34,2,3
87,Ainslie,$806.88,7,7
88,Blaire,$505.59,7,10
89,Cross,$731.62,9,3
90,Tresa,$951.64,8,3
91,Saraann,$31.69,3,6
92,Cheryl,$211.35,7,4
93,Shoshanna,$23.21,2,2
94,Sean,$148.33,2,8
95,Saudra,$106.63,4,5
96,Donnell,$804.04,10,10
97,Gianni,$919.49,4,8
98,Martita,$342.48,9,8
99,Stearne,$141.98,9,9
100,Felix,$834.28,1,6
101,Jephthah,$494.08,7,7
102,Gerianne,$635.50,7,8
103,Christian,$469.53,9,3
104,Rachele,$797.15,10,6
105,Joly,$197.17,2,7
106,Mozes,$236.59,9,5
107,Bamby,$708.15,6,9
108,Ethyl,$652.49,4,6
109,Alejandrina,$841.46,7,8
110,Lind,$916.91,9,9
111,Geoffrey,$767.16,2,1
112,Eveleen,$901.49,7,8
113,Adelle,$83.64,6,6
114,Boycie,$829.91,10,5
115,Jenifer,$916.79,7,6
116,Elisa,$341.13,1,2
117,Randee,$944.07,6,8
118,Adeline,$113.67,5,2
119,Billy,$121.82,6,1
120,Alfreda,$31.95,9,2
121,Mick,$114.76,5,9
122,Jennette,$26.93,8,4
123,Aguistin,$568.69,2,10
124,Roseanne,$498.51,8,5
125,Rosene,$335.02,5,10
126,Palm,$939.28,4,4
127,Bevvy,$955.12,10,6
128,Janeen,$366.88,8,9
129,Cilka,$64.23,2,8
130,Timmy,$76.88,9,9
131,Clerkclaude,$819.15,9,2
132,Gypsy,$34.22,3,1
133,Mabelle,$222.60,2,2
134,Winnie,$364.62,9,4
135,Emmit,$847.60,9,8
136,Rabi,$70.92,6,8
137,Gabbey,$948.05,2,8
138,Rachele,$840.86,2,9
139,Dennie,$659.29,2,2
140,Cassie,$17.39,10,8
141,Rorie,$54.98,7,10
142,Kiah,$653.95,3,6
143,Jaime,$11.72,6,9
144,Dulcy,$444.78,4,3
145,Theodor,$273.87,9,2
146,Gert,$348.65,2,8
147,Judy,$191.49,1,3
148,Aida,$777.39,10,8
149,Rowena,$658.52,10,3
150,Tonia,$591.85,1,8
151,Marissa,$879.04,5,8
152,Jolynn,$103.39,6,7
153,Luis,$251.10,6,1
154,Carlye,$491.78,7,3
155,Micheal,$226.91,9,1
156,Kennie,$471.78,4,1
157,Euphemia,$993.14,8,9
158,Patric,$296.19,5,7
159,Pauly,$444.27,10,3
160,Tracy,$84.43,10,3
161,Coretta,$249.08,6,4
162,Trey,$900.69,4,8
163,Tull,$65.27,7,2
164,Yetta,$227.54,5,2
165,Carol,$876.48,7,4
166,Kenneth,$191.09,7,2
167,Hildy,$939.78,9,8
168,Filippa,$540.31,4,2
169,Dorice,$960.73,5,7
170,Mel,$971.56,1,9
171,Lammond,$417.39,6,3
172,Philly,$851.14,6,1
173,Cordy,$504.64,9,6
174,Elyssa,$966.76,9,8
175,Brennan,$417.09,1,9
176,Jourdan,$685.77,2,5
177,Brody,$179.14,6,2
178,Norrie,$689.60,6,2
179,Cassondra,$563.44,7,5
180,Ike,$600.10,1,6
181,Lissy,$88.71,9,2
182,Bekki,$196.68,4,2
183,Byram,$574.40,1,3
184,Teresina,$528.78,2,1
185,Ann,$372.15,2,10
186,Constantine,$83.91,1,8
187,Edeline,$980.01,3,10
188,Katrinka,$209.75,3,4
189,Kayle,$59.07,10,2
190,Merrick,$817.16,8,6
191,Elise,$219.96,2,6
192,Vincents,$781.74,6,2
193,Roarke,$927.86,10,3
194,Hamnet,$781.60,4,5
195,Joshuah,$622.55,6,2
196,Rhodie,$552.21,3,6
197,Berni,$707.95,3,7
198,Dorotea,$511.15,6,7
199,Isahella,$550.77,10,5
200,Pierson,$606.05,8,9
201,Hi,$250.43,6,5
202,Clari,$132.07,3,4
203,Sandor,$762.12,1,2
204,Michale,$68.98,7,3
205,Gabey,$691.58,10,3
206,Rona,$290.05,7,9
207,Nickolaus,$496.07,1,1
208,Hildegarde,$657.94,5,7
209,Arnuad,$544.19,3,10
210,Hewie,$528.04,3,9
211,Nessa,$535.32,2,1
212,Erhard,$778.49,2,10
213,Nathanial,$981.80,9,1
214,Kassie,$632.32,8,2
215,Goldia,$906.68,4,6
216,Bliss,$297.12,2,9
217,Garwood,$208.59,4,9
218,Garth,$795.00,4,8
219,Loleta,$290.56,3,6
220,Isabeau,$965.86,4,3
221,Corbie,$694.20,1,5
222,Carlota,$920.35,5,4
223,Melisa,$760.29,4,2
224,Mureil,$420.98,1,10
225,Ron,$325.05,3,3
226,Orella,$117.84,4,8
227,Jana,$341.62,7,6
228,Heda,$329.87,7,5
229,Claude,$407.84,7,10
230,Pat,$44.16,3,2
231,Debra,$536.66,2,2
232,Dodie,$11.86,2,2
233,Catherin,$49.25,8,7
234,Mahmud,$160.81,8,1
235,Dalila,$279.99,8,4
236,Amil,$917.80,1,10
237,Torey,$478.60,2,4
238,Didi,$394.54,9,8
239,Urson,$106.25,2,5
240,Chelsae,$214.00,7,8
241,Bonnibelle,$361.04,9,5
242,Dalis,$891.07,2,5
243,Bordy,$259.80,3,8
244,Nerty,$821.92,8,6
245,Valry,$874.11,5,6
246,Atlanta,$150.53,5,6
247,Khalil,$324.67,1,9
248,Dianna,$747.23,2,7
249,Penelope,$273.64,7,9
250,Jesselyn,$857.00,7,9
251,Kara-lynn,$914.44,5,10
252,Krystyna,$981.85,5,9
253,Elita,$872.10,7,5
254,Ginnifer,$45.39,10,2
255,Marie,$822.25,7,10
256,Marje,$737.64,7,3
257,Holt,$916.84,7,7
258,Barny,$514.67,2,10
259,Thadeus,$834.06,1,9
260,Thorvald,$731.04,10,7
261,Fallon,$469.72,3,1
262,Raquel,$333.75,8,1
263,Ned,$100.95,4,2
264,Sofie,$775.94,6,8
265,Sullivan,$813.22,10,3
266,Gavin,$348.83,6,5
267,Neils,$268.51,9,7
268,Ramona,$330.79,4,2
269,Cassandra,$412.30,10,9
270,Sarah,$68.94,1,6
271,Yvonne,$122.17,10,4
272,Elia,$359.77,8,10
273,Concettina,$425.09,8,1
274,Amil,$731.43,6,4
275,Henderson,$827.43,1,5
276,Daffy,$530.77,10,2
277,Jazmin,$626.99,7,5
278,Jo-ann,$710.25,1,5
279,Judah,$411.29,4,5
280,Ashien,$402.91,6,5
281,Gawain,$939.48,10,3
282,Nataniel,$505.22,7,7
283,Dugald,$300.99,8,8
284,Hali,$81.11,9,8
285,Ryann,$464.17,7,1
286,Norrie,$165.94,8,5
287,Lambert,$684.50,1,9
288,Nita,$266.02,6,3
289,Isabel,$967.73,4,4
290,Caitrin,$605.71,5,2
291,Chelsie,$940.44,1,9
292,Ferguson,$750.01,2,3
293,Wynny,$297.75,3,9
294,Lacy,$652.82,2,9
295,Trev,$296.00,8,5
296,Tish,$918.03,4,5
297,Henryetta,$593.32,1,4
298,Eydie,$804.83,8,8
299,Maggi,$574.63,1,2
300,Jaimie,$524.81,8,2
301,Bibbie,$498.57,7,1
302,Oralee,$910.50,4,8
303,Clem,$60.68,2,8
304,Allx,$425.96,1,3
305,Desiri,$66.30,10,8
306,Kellina,$922.79,5,3
307,Marja,$854.10,4,7
308,Hattie,$868.58,7,8
309,Adda,$719.56,7,5
310,Robbie,$594.39,8,4
311,Jesselyn,$873.12,1,9
312,Efrem,$884.43,4,9
313,Hodge,$575.06,3,6
314,Merrill,$545.15,5,1
315,Carleen,$9.15,2,7
316,Cos,$53.52,6,2
317,Kimmy,$898.40,8,9
318,Maye,$171.54,7,4
319,Iona,$908.19,9,6
320,Elvis,$612.89,6,8
321,Jonathan,$48.43,6,6
322,Rosy,$695.98,3,10
323,Karlen,$523.12,5,7
324,Adan,$21.41,5,4
325,Earle,$239.97,10,1
326,Dev,$59.07,3,6
327,Aurelie,$70.17,6,2
328,Erich,$976.00,1,10
329,Alicia,$495.83,4,5
330,Annalise,$157.64,10,2
331,Alain,$682.11,10,9
332,Luce,$527.55,2,9
333,Donny,$467.33,6,8
334,Howey,$242.47,5,3
335,Aile,$317.42,4,9
336,Shaylyn,$66.89,6,10
337,Deny,$354.43,6,9
338,Dody,$811.75,4,4
339,Marita,$394.93,8,7
340,Becki,$450.96,7,2
341,Dina,$328.20,2,2
342,Brnaby,$830.98,2,9
343,Loralie,$871.78,5,2
344,Timmy,$666.12,10,8
345,Valerye,$157.84,3,7
346,Annice,$369.48,2,8
347,Judie,$638.80,10,6
348,Stacie,$516.62,2,5
349,Carri,$691.44,5,8
350,Ardenia,$509.11,3,2
351,Mathias,$94.53,9,10
352,Nerita,$686.64,8,1
353,Kelley,$497.84,10,8
354,Chuck,$209.46,9,9
355,Josselyn,$648.52,7,4
356,Carolee,$489.12,10,5
357,Rocky,$757.89,7,5
358,Bev,$147.69,6,6
359,Esdras,$665.06,1,5
360,Ruth,$355.71,1,5
361,Debora,$780.95,8,3
362,Dinny,$32.03,7,3
363,Leoline,$299.14,10,9
364,Ardyce,$65.30,9,2
365,Reynard,$43.60,9,1
366,Nolana,$555.50,5,9
367,Giacopo,$368.30,1,1
368,Frederich,$43.07,5,6
369,Eb,$546.67,4,3
370,Corrie,$728.45,10,5
371,Daffie,$609.57,7,5
372,Giana,$30.35,3,2
373,Kirby,$445.88,5,8
374,Lucie,$198.88,10,8
375,Evelyn,$353.32,9,9
376,Griselda,$67.10,7,3
377,Vivianne,$780.43,5,7
378,Steward,$121.68,10,5
379,Brok,$303.67,4,8
380,Callie,$629.90,2,1
381,Arlyne,$70.40,7,2
382,Brice,$918.50,7,7
383,Derry,$909.41,3,4
384,Jourdain,$576.66,8,1
385,Carey,$161.24,10,9
386,Iago,$611.31,10,7
387,Iris,$686.85,7,8
388,Brandice,$48.62,9,4
389,Lisa,$21.13,8,10
390,Blair,$812.42,1,6
391,Agustin,$843.39,2,7
392,Lynnelle,$67.58,5,2
393,Neron,$69.81,9,8
394,Friederike,$119.10,9,6
395,Carver,$350.80,3,9
396,Waiter,$507.11,5,8
397,Ines,$774.73,8,5
398,Godard,$518.76,7,2
399,Sherrie,$301.11,8,6
400,Roanna,$751.57,10,9
401,Kellen,$125.10,4,9
402,Tabitha,$324.73,10,6
403,Kassandra,$383.59,5,4
404,Mirna,$893.46,1,5
405,Renie,$726.35,10,7
406,Cleavland,$503.44,8,7
407,Aloin,$824.39,2,9
408,Paulette,$191.61,4,2
409,Cathie,$458.75,10,6
410,Aigneis,$874.15,5,3
411,Hogan,$559.65,7,9
412,Cal,$459.92,7,2
413,Marcile,$856.94,1,1
414,Belia,$463.49,4,6
415,Ingrim,$82.01,4,4
416,Nyssa,$345.03,1,9
417,Aubine,$609.04,8,9
418,Vito,$291.15,6,6
419,Luci,$848.95,8,2
420,Lyda,$348.83,5,6
421,Ashien,$801.79,10,10
422,Agnella,$234.33,8,10
423,Rosemaria,$843.53,2,9
424,Carly,$609.58,2,10
425,Irena,$353.82,3,7
426,Fabe,$747.98,5,3
427,Corrinne,$66.75,3,3
428,Eadith,$608.68,8,1
429,Alberto,$309.42,9,7
430,Cathlene,$611.05,1,2
431,Weber,$232.93,1,3
432,Mab,$837.71,8,5
433,Jozef,$551.28,1,3
434,Trisha,$879.34,7,10
435,Kiah,$11.46,4,9
436,Trever,$632.52,8,3
437,Seka,$876.04,6,4
438,Charis,$842.04,9,5
439,Xenia,$145.75,3,2
440,Jerrie,$268.72,7,9
441,Klara,$119.16,2,6
442,Karilynn,$991.35,4,9
443,Nye,$16.91,5,1
444,Concordia,$980.25,9,8
445,Carola,$223.89,5,7
446,Marty,$633.34,4,8
447,Dorris,$687.22,3,8
448,Sela,$676.13,8,6
449,Chilton,$503.07,7,5
450,Gabby,$520.36,2,3
451,Claudio,$562.48,8,9
452,Curr,$370.71,6,5
453,Dorris,$893.85,6,2
454,Louise,$394.14,7,2
455,Lars,$962.55,6,6
456,Alexandro,$859.04,7,4
457,Aimil,$948.83,3,6
458,Doll,$628.67,8,5
459,Corissa,$763.83,4,8
460,Artair,$251.41,7,10
461,Mellisent,$690.31,8,2
462,Salli,$761.71,4,9
463,Rich,$87.19,3,7
464,Andreana,$351.24,5,8
465,Georgiana,$640.12,5,5
466,Pauli,$720.32,9,9
467,Beauregard,$299.60,10,6
468,Margalit,$808.36,5,3
469,Monty,$933.30,2,8
470,Rhodia,$90.14,4,9
471,Moyra,$962.40,4,4
472,Rogers,$628.90,3,2
473,Ola,$183.93,7,4
474,Nestor,$60.10,8,4
475,Melody,$464.01,4,6
476,Sean,$293.15,9,6
477,Feodor,$312.46,9,6
478,Foster,$0.41,7,3
479,Niles,$843.39,8,4
480,Kordula,$429.63,3,6
481,Xylia,$963.63,3,3
482,Hollie,$742.65,1,8
483,Sisely,$979.52,1,4
484,Camala,$671.23,1,3
485,Dorene,$887.61,8,2
486,Adelaida,$179.43,6,4
487,Manda,$953.28,5,8
488,Darn,$308.33,2,10
489,Leta,$785.63,3,2
490,Alika,$308.07,5,4
491,Aylmar,$749.90,9,1
492,Saunderson,$96.41,2,9
493,Westley,$69.54,2,2
494,Candra,$182.61,5,9
495,Ivory,$459.79,9,1
496,Mada,$414.89,6,7
497,Agnes,$362.41,3,5
498,Charissa,$247.66,5,7
499,Peggy,$674.97,5,10
500,Clarita,$365.18,3,7
501,Noel,$408.56,3,9
502,Launce,$561.51,6,3
503,Byron,$668.45,3,6
504,Deanne,$90.10,8,8
505,Filip,$973.19,10,7
506,Sonny,$966.14,3,9
507,Mella,$672.58,6,7
508,Drusy,$699.69,3,8
509,Chrissy,$870.83,5,9
510,Doreen,$166.55,6,7
511,Anabella,$442.64,2,8
512,Lillis,$677.13,2,6
513,Tedmund,$286.30,1,8
514,Elissa,$160.91,9,6
515,Lonee,$259.39,10,4
516,Jesselyn,$419.19,9,6
517,Eloisa,$997.51,1,5
518,Philbert,$993.89,7,1
519,Celestina,$482.85,5,1
520,Blinnie,$397.93,7,5
521,Erika,$559.08,8,6
522,Mirella,$503.26,5,2
523,Viki,$769.25,6,3
524,Archambault,$846.35,4,3
525,Julina,$897.64,3,7
526,Colet,$250.49,3,2
527,Candie,$120.76,5,2
528,Ryann,$535.59,7,6
529,Suki,$716.33,10,10
530,Gerhard,$862.40,9,6
531,Christiana,$128.78,10,2
532,Quentin,$981.75,9,7
533,Beatriz,$546.82,4,9
534,Joline,$747.16,4,8
535,Feodor,$902.28,7,1
536,Dynah,$952.10,4,6
537,Gael,$506.54,8,2
538,Marlyn,$692.70,5,4
539,Marni,$233.01,10,6
540,Pavel,$354.98,2,7
541,Giuseppe,$520.73,3,5
542,Corney,$978.28,7,1
543,Arne,$299.41,1,2
544,Kellina,$48.09,10,1
545,Sammie,$855.91,9,1
546,Verina,$427.16,10,4
547,Bradley,$771.92,4,9
548,Fayina,$185.59,7,5
549,Deloria,$224.70,10,5
550,Beverlee,$991.58,10,10
551,Latrena,$184.60,8,5
552,Jorry,$861.56,7,4
553,Heriberto,$882.78,3,7
554,Eustace,$764.07,6,3
555,Sancho,$49.43,2,9
556,Mair,$638.99,6,1
557,Martha,$7.12,8,4
558,Iorgo,$273.82,4,6
559,Gareth,$647.53,5,1
560,Dorita,$759.34,6,1
561,Hartwell,$273.05,10,7
562,Bobbie,$485.09,4,3
563,Meara,$912.59,6,4
564,Garwin,$271.82,2,6
565,Mab,$896.56,3,9
566,Mort,$998.55,8,6
567,Kane,$875.32,7,2
568,Quinta,$963.64,6,7
569,Sharl,$997.52,4,4
570,Vergil,$333.52,2,7
571,Lucina,$587.49,8,1
572,Stanfield,$314.30,1,6
573,Sanders,$907.75,7,1
574,Konrad,$416.16,10,8
575,Ed,$207.21,5,10
576,Zane,$40.27,10,7
577,Maridel,$297.30,1,4
578,Eveline,$424.65,2,4
579,Mirna,$532.66,10,9
580,Emyle,$730.90,6,7
581,Mayer,$475.74,6,5
582,Jeramie,$574.68,6,7
583,Else,$551.12,6,7
584,Bram,$697.84,10,7
585,Madelene,$549.05,8,8
586,Alair,$711.43,7,9
587,Spenser,$882.85,1,3
588,Baryram,$783.11,3,4
589,Carter,$216.49,2,2
590,Beverley,$309.07,6,2
591,Robinet,$656.19,10,8
592,Bonita,$446.19,4,1
593,Jarrett,$505.92,9,1
594,Axel,$580.53,2,2
595,Stormy,$851.35,8,9
596,Dael,$24.29,3,9
597,Erminie,$455.87,1,3
598,Barron,$251.33,1,5
599,Noland,$875.79,6,7
600,Waylen,$613.13,7,5
601,Kylie,$902.68,7,5
602,Betty,$673.64,5,1
603,Todd,$849.52,10,1
604,Vanda,$390.58,2,3
605,Chandler,$495.37,9,9
606,Rafaelita,$756.38,2,6
607,Dorolice,$813.55,2,5
608,Arda,$445.60,6,9
609,Allistir,$682.35,1,4
610,Nana,$647.21,7,8
611,Tracie,$619.00,4,9
612,Denver,$3.13,5,2
613,Keir,$113.68,1,2
614,Hedwiga,$733.98,8,8
615,Bev,$40.02,3,8
616,Benedick,$977.43,8,4
617,Shannan,$996.13,7,5
618,Jessa,$569.27,6,8
619,Blakeley,$303.67,2,5
620,Gregg,$646.02,3,5
621,Federico,$406.52,6,3
622,Griff,$625.48,1,5
623,Randa,$702.92,8,8
624,Malinda,$631.21,5,1
625,Yolanthe,$513.63,10,5
626,Basilio,$817.26,6,9
627,Aundrea,$136.31,2,7
628,Rowland,$980.32,1,3
629,Analiese,$509.97,5,3
630,Gonzales,$334.60,1,10
631,Sybila,$851.34,9,8
632,Sharyl,$581.72,4,6
633,Gerik,$234.64,5,10
634,Thedric,$253.92,9,4
635,Shaun,$891.53,10,6
636,Sharon,$99.47,2,8
637,Hermina,$791.00,2,10
638,Corrie,$634.87,7,6
639,Bobbye,$530.59,6,10
640,Pate,$976.46,9,3
641,Malvin,$6.24,10,6
642,Gianni,$576.61,10,8
643,Moina,$905.48,10,7
644,Jacquenetta,$737.93,8,1
645,Brooke,$443.42,2,10
646,Fawnia,$343.93,6,7
647,Carolus,$359.78,4,8
648,Whitney,$699.56,10,6
649,Alfie,$770.02,7,8
650,Bevan,$558.54,10,2
651,Marris,$713.90,9,9
652,Tonie,$608.37,10,8
653,Teodora,$985.86,3,10
654,Johan,$510.77,5,10
655,Kerwinn,$478.60,3,2
656,Yurik,$638.96,2,4
657,Sherill,$459.89,4,7
658,Onfroi,$993.98,7,9
659,Nelly,$15.51,3,8
660,Tobias,$255.07,7,3
661,Ira,$990.27,10,3
662,Tomas,$256.42,4,8
663,Reina,$481.53,2,8
664,Dulcea,$954.88,7,6
665,Bartlett,$815.69,3,4
666,Aretha,$452.16,2,8
667,Thurstan,$359.73,9,9
668,Regan,$477.91,7,7
669,Camilla,$355.33,4,1
670,Blondy,$619.95,7,2
671,Ripley,$651.68,2,2
672,Carolyne,$879.22,2,4
673,Clarinda,$706.73,2,9
674,Stefania,$345.59,6,4
675,Cristine,$62.82,10,6
676,Susy,$931.61,4,5
677,Reagan,$33.40,5,10
678,Becki,$665.86,9,10
679,Eli,$719.70,7,10
680,Suki,$824.15,6,7
681,Powell,$133.90,5,8
682,Bili,$967.95,2,7
683,Aridatha,$552.02,4,10
684,Klemens,$652.56,8,1
685,Buck,$609.37,4,8
686,William,$429.47,10,2
687,Shelagh,$606.01,4,8
688,Alleen,$177.30,2,3
689,Pauly,$426.34,8,7
690,Vincents,$171.08,10,10
691,Colette,$997.01,4,7
692,Roarke,$246.52,10,5
693,Winfred,$330.68,10,1
694,Andie,$625.34,9,1
695,Leticia,$258.06,2,3
696,Borden,$776.34,2,3
697,Colas,$477.50,1,4
698,Paulie,$333.48,8,8
699,Devi,$692.29,10,2
700,Amelita,$677.20,7,3
701,Shana,$632.03,5,3
702,Aliza,$4.31,2,7
703,Bradford,$250.77,9,3
704,Flora,$342.26,4,4
705,Duffy,$41.14,2,4
706,Claudelle,$719.99,5,6
707,Bartholomew,$606.21,8,7
708,Hoyt,$958.53,9,7
709,Lurline,$16.76,8,9
710,Elroy,$703.36,1,8
711,Vivyanne,$450.03,7,2
712,Tulley,$850.49,9,3
713,Menard,$19.94,10,3
714,Genevra,$745.30,6,10
715,Graham,$511.92,5,2
716,Bendite,$581.96,3,7
717,Adria,$344.33,4,2
718,Mellie,$842.01,6,10
719,Tyson,$756.40,3,10
720,Kore,$978.50,10,5
721,Drona,$391.58,3,2
722,Jere,$878.54,4,5
723,Crin,$776.66,10,7
724,Demetra,$610.43,10,4
725,Thibaut,$88.69,2,6
726,Michel,$565.89,9,2
727,Ania,$148.50,6,7
728,Andie,$43.73,7,4
729,Dorey,$211.57,10,8
730,Gregg,$973.04,6,8
731,Barbara,$668.35,4,8
732,Edna,$705.23,8,10
733,Christie,$978.88,2,2
734,Domini,$366.21,8,8
735,Gnni,$193.60,1,6
736,Lazare,$359.51,2,1
737,Ernestine,$610.38,6,3
738,Land,$717.21,3,9
739,Merwin,$626.82,8,8
740,Alard,$381.39,8,10
741,Baily,$636.59,6,2
742,Kippy,$631.21,10,2
743,Carey,$829.17,9,4
744,Susann,$142.51,1,3
745,Napoleon,$714.64,2,7
746,Addi,$193.66,6,5
747,Martyn,$924.25,7,6
748,Angelle,$91.00,10,10
749,Virgie,$896.53,7,7
750,Peggie,$181.59,3,5
751,Florrie,$874.51,8,6
752,Yoshiko,$77.78,8,3
753,Lonnie,$803.39,9,5
754,Mignonne,$145.58,8,8
755,Bowie,$302.60,9,7
756,Heidi,$993.30,1,8
757,Chase,$240.33,7,7
758,Lucia,$773.97,10,10
759,Gris,$660.97,1,9
760,Ximenez,$822.38,8,1
761,Sascha,$238.78,5,5
762,Nicola,$212.83,10,4
763,Luciano,$562.62,9,6
764,Timothy,$616.18,1,5
765,Garnet,$483.54,9,1
766,Ingar,$328.70,3,1
767,Ethelda,$483.34,9,2
768,Reggis,$79.60,3,8
769,Griffin,$159.59,6,8
770,Guendolen,$657.52,1,8
771,Deva,$472.55,2,4
772,Vere,$418.65,1,4
773,Ileane,$540.79,1,4
774,Amanda,$215.85,6,5
775,Abbe,$217.22,5,1
776,Kerry,$409.92,9,1
777,Stacie,$741.40,7,2
778,Heddi,$125.34,4,7
779,Zacharias,$976.34,10,8
780,Jorge,$296.63,5,8
781,Chet,$876.51,3,5
782,Auberon,$943.58,2,1
783,Joye,$26.95,8,2
784,Cointon,$317.69,1,6
785,Myca,$229.89,2,4
786,Octavia,$201.08,8,8
787,Briano,$867.02,6,1
788,Mariejeanne,$840.24,10,8
789,Diana,$662.38,7,3
790,Jeremie,$442.61,1,4
791,Rafe,$611.07,1,5
792,Theresa,$39.34,2,3
793,Ellery,$312.32,8,5
794,Elisha,$625.31,9,6
795,Leann,$252.16,4,10
796,Jobyna,$898.30,5,8
797,Keri,$315.47,1,5
798,Abbi,$217.09,10,3
799,Nicolis,$575.81,10,1
800,Giustina,$406.42,5,10
801,Forster,$349.49,8,8
802,Goldy,$696.66,6,4
803,Fernando,$556.22,10,4
804,Brandon,$291.22,3,8
805,Niko,$671.15,7,1
806,Charlene,$506.01,9,8
807,Irwinn,$403.69,8,10
808,Gabriel,$984.59,1,8
809,Crosby,$522.04,6,7
810,Murdock,$712.12,8,10
811,Randolf,$822.26,6,2
812,Nicolas,$129.84,3,4
813,Sheelah,$495.52,9,4
814,Amber,$341.32,3,2
815,Lilian,$41.24,8,2
816,Barnebas,$875.58,5,4
817,Cristy,$793.21,10,8
818,Abe,$180.83,3,3
819,Waverley,$204.62,2,6
820,Ethe,$707.39,3,7
821,Tadeo,$891.56,10,8
822,Elinor,$77.52,8,6
823,Grete,$10.83,3,6
824,Park,$183.84,10,10
825,Karney,$693.11,10,5
826,Iago,$609.17,1,7
827,Obed,$986.10,9,1
828,Agata,$771.07,9,7
829,Magdalena,$687.76,8,10
830,Harland,$966.82,10,7
831,Marlo,$839.93,3,8
832,Delmar,$344.77,10,5
833,Chucho,$128.59,4,7
834,Haleigh,$731.27,5,3
835,Louella,$535.37,7,4
836,Inglebert,$433.05,2,3
837,Rogers,$824.49,4,6
838,Merrill,$209.18,1,2
839,Alair,$887.54,7,4
840,Alessandra,$486.56,6,5
841,Halsey,$868.09,8,3
842,Kevina,$441.90,3,9
843,Roderic,$849.14,5,5
844,Upton,$330.19,8,1
845,Katy,$89.35,6,8
846,Peri,$415.87,4,6
847,Claudina,$43.02,2,3
848,Yehudi,$180.52,8,10
849,Lilly,$766.13,1,3
850,Pierre,$164.23,9,10
851,Neils,$603.44,8,7
852,Giacinta,$833.54,9,4
853,Leoine,$15.12,10,7
854,Gare,$650.80,7,8
855,Gayle,$929.32,3,7
856,Carr,$213.27,8,6
857,Ariela,$809.80,8,1
858,Enriqueta,$731.66,4,3
859,Dario,$118.16,4,7
860,Othella,$549.79,5,5
861,Anabella,$726.09,6,9
862,Vasilis,$262.56,3,4
863,Estele,$592.34,6,5
864,Artie,$945.12,8,8
865,Fernandina,$55.54,6,6
866,Gherardo,$868.79,7,5
867,Clarette,$427.76,6,4
868,Lora,$271.87,8,6
869,Elsworth,$336.91,1,4
870,Erl,$95.74,5,2
871,Loy,$60.38,4,6
872,Arlin,$953.60,4,8
873,Joelly,$18.14,1,8
874,Roddie,$364.78,2,5
875,Merralee,$310.62,6,6
876,Heddi,$718.41,10,10
