code,name,region
616,"Goose, knob-nosed",China
617,"Eland, common",Afghanistan
618,Blue-footed booby,Portugal
619,Spotted-tailed quoll,China
620,Wild turkey,Ukraine
621,"Darter, african",China
622,"Wolf, mexican",Poland
623,Little blue penguin,Philippines
624,Madagascar hawk owl,China
625,Swainson's francolin,Portugal
626,Kelp gull,China
627,Brindled gnu,Thailand
628,"Reedbuck, bohor",Sweden
629,Eastern indigo snake,Kazakhstan
630,"Viper, egyptian",China
631,Genoveva,Honduras
632,Pied cormorant,China
633,Green vine snake,Luxembourg
634,"Shelduck, common",China
635,Galapagos tortoise,Canada
636,"Anteater, giant",Netherlands
637,"Racer, american",Brazil
638,"Bandicoot, long-nosed",Brazil
639,Mudskipper (unidentified),Russia
640,"Heron, green-backed",Russia
641,Lappet-faced vulture,Brazil
642,Thomson's gazelle,Ghana
643,"Glider, sugar",Russia
644,"Trumpeter, dark-winged",Argentina
645,Mallard,Philippines
646,"Cockatoo, slender-billed",China
647,Leadbeateri's ground hornbill,China
648,Gaur,Canada
649,Great white pelican,Micronesia
650,Red deer,Portugal
651,"Lizard, mexican beaded",Uruguay
652,"Badger, eurasian",Indonesia
653,"Cat, ringtail",Syria
654,Yellow-throated sandgrouse,Brazil
655,"Monkey, rhesus",Indonesia
656,Eagle owl (unidentified),Nigeria
657,"Lion, australian sea",Panama
658,Common zebra,Yemen
659,Woylie,Brazil
660,Waved albatross,Nigeria
661,Common ringtail,Philippines
662,"Puffin, horned",Argentina
663,"Falcon, peregrine",Thailand
664,"Turtle, eastern box",Indonesia
665,"Whale, southern right",Philippines
666,"Bandicoot, southern brown",Ukraine
667,"Phalarope, red-necked",Armenia
668,White-fronted bee-eater,Croatia
669,"Pigeon, feral rock",Indonesia
670,Eastern cottontail rabbit,Russia
671,"Snake, eastern indigo",Indonesia
672,"Wallaby, agile",Indonesia
673,Brolga crane,Australia
674,Vine snake (unidentified),Pakistan
675,"Cockatoo, roseate",Philippines
676,Crab-eating fox,Brazil
677,Downy woodpecker,France
678,Hippopotamus,France
679,"Armadillo, nine-banded",Ukraine
680,Monitor lizard (unidentified),Russia
681,Bontebok,Indonesia
682,"Hartebeest, coke's",Argentina
683,River wallaby,Indonesia
684,Red lava crab,Indonesia
685,Four-striped grass mouse,Canada
686,Brown hyena,Portugal
687,White-lipped peccary,Czech Republic
688,"Plover, three-banded",Indonesia
689,Black curlew,China
690,Ring-tailed lemur,Russia
691,Komodo dragon,Indonesia
692,"Sheep, stone",Indonesia
693,"Toucan, red-billed",China
694,"Vulture, bengal",China
695,Grey phalarope,Slovenia
696,Banded mongoose,Guinea
697,White-necked raven,Sweden
698,"Lion, african",Tanzania
699,"Capuchin, white-fronted",Portugal
700,Black-capped chickadee,Myanmar
701,"Eland, common",Paraguay
702,African red-eyed bulbul,China
703,"Spider, wolf",China
704,Swallow-tail gull,Canada
705,White-cheeked pintail,Tanzania
706,Madagascar fruit bat,China
707,"Bear, polar",Russia
708,"Swan, trumpeter",Indonesia
709,"Bird, red-billed tropic",Russia
710,"Fox, pampa gray",Brazil
711,White-faced tree rat,Brazil
712,Common turkey,Brazil
713,Serval,Philippines
714,"Dolphin, common",Portugal
715,Verreaux's sifaka,China
716,Red-necked wallaby,Indonesia
717,Purple grenadier,Colombia
718,Eastern box turtle,Ethiopia
719,Galapagos mockingbird,Indonesia
720,Thirteen-lined squirrel,France
721,Brazilian otter,Czech Republic
722,Jabiru stork,Russia
723,Southern boubou,China
724,"Lion, mountain",Tajikistan
725,Common raccoon,Mexico
726,Grey heron,Philippines
727,Lilac-breasted roller,Sweden
728,"Sparrow, rufous-collared",South Africa
729,Mule deer,China
730,"Polecat, african",Lithuania
731,"Roadrunner, greater",Czech Republic
732,Yellow-headed caracara,China
733,Tiger cat,Chad
734,"Dove, emerald-spotted wood",Philippines
735,Common duiker,China
736,"Rabbit, eastern cottontail",China
737,Blue duck,China
738,Sarus crane,Indonesia
739,Grey fox,Indonesia
740,"Squirrel, indian giant",Philippines
741,Musk ox,El Salvador
742,"Bandicoot, southern brown",China
743,"Bear, polar",Russia
744,European spoonbill,China
745,Ferruginous hawk,Turkmenistan
746,Ibex,Mexico
747,American bison,China
748,Savannah deer,China
749,Netted rock dragon,Portugal
750,Brush-tailed bettong,South Africa
751,"Baboon, chacma",Morocco
752,"Whale, killer",Philippines
753,Salmon pink bird eater tarantula,Norway
754,Short-nosed bandicoot,China
755,Long-billed cockatoo,Philippines
756,Turtle (unidentified),Cuba
757,Western patch-nosed snake,Poland
758,Two-banded monitor,Ivory Coast
759,"Wildebeest, blue",Pakistan
760,"Robin, white-throated",Sweden
761,Greater flamingo,Ukraine
762,Brazilian tapir,China
763,American racer,Latvia
764,Southern tamandua,Malaysia
765,White-necked stork,Colombia
766,"Bat, madagascar fruit",Honduras
767,Desert kangaroo rat,Russia
768,American bighorn sheep,Poland
769,"Spider, wolf",Sweden
770,"Siskin, pine",Sweden
771,"Phalarope, red-necked",Chile
772,Egyptian cobra,Brazil
773,"Wolf, timber",Russia
774,"Vulture, turkey",Brazil
775,"Bulbul, black-fronted",Czech Republic
776,"Monkey, rhesus",Indonesia
777,Silver gull,China
778,"Goldeneye, common",Portugal
779,American crow,China
780,White-browed sparrow weaver,Argentina
781,"Crane, brolga",China
782,"Lechwe, kafue flats",France
783,Wolf spider,Croatia
784,"Lorikeet, scaly-breasted",Russia
785,Grey fox,Paraguay
786,"Oryx, beisa",Indonesia
787,Bald eagle,Nigeria
788,American badger,France
789,"Roadrunner, greater",Sweden
790,"Bat, little brown",East Timor
791,Indian star tortoise,Colombia
792,Mocking cliffchat,Sweden
793,Crab (unidentified),Brazil
794,"Monitor, white-throated",Portugal
795,Richardson's ground squirrel,Syria
796,"Stork, yellow-billed",Philippines
797,Australian pelican,Peru
798,"Monitor, water",Lithuania
799,"Waterbuck, defassa",China
800,Cheetah,Poland
801,Yellow-necked spurfowl,Nigeria
802,Great cormorant,Albania
803,North American river otter,France
804,"Penguin, fairy",Russia
805,"Dik, kirk's dik",Portugal
806,Chameleon (unidentified),Honduras
807,Bengal vulture,South Korea
808,"Jaeger, long-tailed",China
809,"Wallaby, river",Czech Republic
810,Brown antechinus,Philippines
811,"Spider, wolf",China
812,Common dolphin,Croatia
813,Sulfur-crested cockatoo,North Korea
814,Hanuman langur,Indonesia
815,Numbat,Indonesia
816,Savanna fox,Indonesia
817,King cormorant,China
818,"Monkey, rhesus",Benin
819,"Goose, cereopsis",Vietnam
820,Asian openbill,Ukraine
821,"Deer, savannah",Poland
822,Water moccasin,Indonesia
823,"Skua, long-tailed",China
824,"Bandicoot, long-nosed",Indonesia
825,Collared lizard,Ukraine
826,"Plover, three-banded",Argentina
827,Green-winged macaw,Philippines
828,Thomson's gazelle,Japan
829,Hoary marmot,France
830,Hoffman's sloth,Indonesia
831,"Monkey, bleeding heart",Indonesia
832,White rhinoceros,Georgia
833,"Otter, african clawless",Russia
834,Sage grouse,Indonesia
835,Cape fox,Philippines
836,"Pintail, bahama",Philippines
837,Green vine snake,Indonesia
838,Common ringtail,China
839,"Boa, columbian rainbow",Bulgaria
840,Galapagos hawk,China
841,Blacksmith plover,Uzbekistan
842,Roan antelope,Nigeria
843,"Vulture, griffon",China
844,Agile wallaby,Afghanistan
845,Carpet snake,Bosnia and Herzegovina
846,Royal tern,Russia
847,Gambel's quail,United States
848,Crown of thorns starfish,Greece
849,Carmine bee-eater,Greece
850,"Sheep, red",Czech Republic
851,Green-winged trumpeter,Morocco
852,"Macaque, bonnet",Sweden
853,Red deer,Portugal
854,"Dragon, netted rock",France
855,Smith's bush squirrel,Russia
856,"Snake, racer",China
857,"Lizard, mexican beaded",Nigeria
858,"Zorro, common",Australia
859,Sockeye salmon,Morocco
860,"Cat, native",Czech Republic
861,"Openbill, asian",China
862,Yellow-throated sandgrouse,China
863,"Cobra, egyptian",Bangladesh
864,Snow goose,Russia
865,Greater adjutant stork,China
866,Blue racer,Indonesia
867,Red-tailed cockatoo,Panama
868,Two-toed sloth,Germany
869,Southern elephant seal,Tanzania
870,Blue-faced booby,China
871,"Baboon, olive",Indonesia
872,"Macaque, bonnet",Malaysia
