customer,wine,time,nrBottles,nrcases
367,633,485,69,3
443,805,398,18,4
747,160,450,81,7
721,689,466,94,10
539,29,523,46,7
649,552,550,98,4
548,691,94,21,6
1000,196,502,68,2
267,187,107,54,5
695,620,77,100,2
751,544,880,23,2
932,633,833,49,8
473,769,177,25,1
483,678,581,12,3
204,217,580,24,10
141,313,202,36,6
647,116,885,27,2
501,963,572,73,5
273,418,548,49,6
751,226,478,64,1
608,603,262,34,2
840,493,454,24,4
493,299,985,4,9
145,312,590,24,4
492,228,202,16,7
51,833,577,18,3
606,103,10,43,3
595,69,698,92,4
679,246,577,41,2
835,782,850,11,6
97,629,787,53,9
529,402,250,74,6
811,490,423,95,2
424,839,381,89,2
938,938,844,92,10
304,28,190,90,7
147,570,762,99,8
954,569,13,15,5
482,820,575,89,9
401,77,760,10,3
54,153,677,85,6
270,453,429,24,6
385,990,929,62,1
621,95,476,84,5
636,368,565,21,9
326,326,125,36,4
221,395,138,92,1
954,809,156,56,7
764,732,802,10,5
450,93,304,4,4
449,681,361,33,4
451,492,372,31,2
567,437,285,42,6
406,814,766,65,3
472,606,238,52,8
704,966,355,91,5
119,552,290,40,6
674,633,85,93,10
733,956,811,27,2
596,746,190,95,2
96,736,169,2,3
492,316,46,89,8
396,539,585,88,8
292,302,856,61,4
701,940,655,88,4
227,767,372,85,1
892,485,985,73,4
196,432,958,18,1
449,52,780,77,6
20,952,921,48,6
341,668,198,18,5
762,599,44,62,9
921,1000,417,94,4
655,499,640,97,9
971,76,707,96,10
314,24,292,83,4
584,780,358,75,9
611,810,254,41,10
925,296,268,35,1
417,981,811,64,5
899,523,114,60,6
88,853,103,56,10
956,960,61,11,6
318,31,426,56,8
836,6,35,64,4
390,893,517,73,8
361,8,615,26,9
326,104,83,86,3
469,481,895,37,4
958,900,861,93,5
879,690,172,8,7
478,441,67,70,9
872,9,122,45,7
771,244,361,46,5
894,479,506,86,1
826,856,229,64,1
686,411,481,37,9
391,566,177,39,10
967,390,222,95,1
130,251,311,4,4
93,841,868,55,2
276,907,778,45,6
369,12,18,42,6
135,810,617,1,7
234,395,628,61,3
388,523,573,80,4
151,249,795,67,6
372,251,963,68,3
335,667,970,22,10
318,592,476,34,10
135,905,71,66,1
684,401,15,91,7
490,837,121,70,1
411,615,237,67,1
537,17,424,25,7
709,269,609,64,9
171,114,716,68,1
97,384,88,44,4
923,677,847,81,7
388,575,49,22,5
421,82,825,100,3
48,173,149,92,2
344,143,283,60,2
423,403,615,76,3
422,587,518,32,6
211,45,583,53,8
852,843,887,96,7
768,130,884,3,2
190,325,274,35,9
223,282,251,15,7
563,750,370,49,5
409,778,875,95,6
858,47,819,8,10
447,326,873,10,9
71,163,396,74,5
236,902,716,24,7
311,802,432,25,7
667,137,452,84,4
138,642,11,12,8
834,903,993,45,8
720,630,538,20,1
975,906,881,96,5
561,817,492,40,6
320,886,888,69,4
874,610,422,12,9
796,367,597,22,6
834,949,908,50,2
130,836,893,11,8
145,648,160,25,9
261,216,388,41,5
660,283,768,7,3
811,613,883,49,9
137,212,485,1,3
979,931,873,5,3
190,913,177,88,9
118,727,324,61,1
832,987,592,93,7
120,76,941,46,8
414,825,544,57,10
931,861,571,84,5
647,275,186,66,6
616,159,767,4,7
840,780,290,77,1
933,706,979,84,10
913,654,646,86,3
522,364,450,54,5
315,165,598,17,2
9,504,256,24,4
349,136,340,71,10
792,277,148,94,10
194,56,35,72,6
459,848,281,81,2
943,710,505,100,6
990,519,346,84,8
240,988,134,80,6
467,586,381,57,10
910,877,92,36,5
655,921,106,11,9
426,137,811,8,5
238,729,548,98,3
939,781,991,42,4
589,154,739,20,10
958,171,466,74,5
463,541,741,97,4
421,829,200,12,5
683,135,588,33,6
398,214,266,97,7
911,171,406,51,8
240,168,335,16,3
472,532,574,29,1
952,196,255,6,2
278,803,591,2,6
545,360,719,1,9
770,446,707,32,8
340,899,975,41,7
395,20,963,24,8
125,828,634,23,6
75,640,469,77,3
391,199,20,10,10
451,643,733,90,8
402,232,356,83,8
847,388,974,5,9
360,973,271,60,5
458,849,890,74,10
241,795,41,36,3
337,536,57,15,9
257,611,636,97,1
593,293,965,96,8
87,483,436,1,2
305,636,35,77,5
480,232,562,74,10
39,520,407,67,7
533,882,997,61,7
301,206,686,100,5
683,35,145,2,6
396,38,569,71,10
826,44,998,50,5
963,78,892,32,3
985,797,363,37,1
533,23,753,73,3
635,837,512,89,10
300,138,601,9,9
763,538,275,76,4
502,495,104,68,6
276,218,299,66,3
969,934,226,13,9
237,398,330,77,10
295,512,604,78,6
813,914,356,64,6
550,407,562,65,7
189,442,167,71,8
876,525,144,30,10
979,498,901,98,3
397,963,493,65,3
35,767,630,17,6
954,626,582,90,2
293,323,178,69,1
103,967,613,63,5
999,419,656,18,4
915,920,481,59,1
497,449,442,20,9
432,244,935,35,6
59,682,792,91,5
573,26,448,31,6
186,785,981,12,4
954,823,618,47,7
66,216,644,2,1
167,540,299,8,1
436,451,154,35,7
233,42,659,39,7
804,334,201,13,8
748,403,29,18,3
19,450,873,25,3
888,889,851,26,8
13,964,195,34,7
752,398,716,44,5
81,742,762,70,10
327,507,541,65,2
581,414,44,44,4
301,53,876,96,5
184,703,794,97,7
759,130,790,76,7
957,341,298,22,3
78,444,365,17,10
371,440,435,62,7
329,281,436,100,7
739,745,113,8,8
525,961,235,10,7
614,677,574,82,7
692,73,269,53,8
717,635,663,61,10
345,992,381,67,10
886,61,420,55,10
101,827,763,24,3
752,145,254,49,5
763,27,962,27,8
211,118,33,8,5
23,933,395,72,3
291,573,937,28,4
257,792,893,7,9
678,717,623,80,3
761,500,537,36,6
737,219,226,69,5
668,884,613,57,5
805,878,560,2,10
108,727,186,24,8
803,47,931,59,7
262,478,235,67,3
84,140,575,18,8
66,289,542,67,5
999,167,287,53,3
976,656,825,27,7
560,87,232,19,5
666,451,836,1,4
630,292,876,12,10
795,899,848,85,5
562,896,540,15,9
795,696,636,8,2
697,752,317,56,8
820,965,120,63,6
380,162,775,96,8
433,130,33,89,5
985,845,540,53,5
514,991,12,44,3
757,424,967,24,5
566,338,415,96,4
391,944,38,79,7
545,902,837,98,8
108,687,468,35,5
701,456,132,25,7
149,366,66,52,5
574,199,702,7,8
701,226,71,5,1
630,606,488,43,2
859,948,484,78,2
161,807,367,85,5
548,359,808,7,9
746,411,976,22,5
27,692,685,100,10
89,387,610,77,3
508,832,378,79,7
498,282,668,22,1
536,814,518,46,3
559,418,110,63,4
688,589,87,38,8
783,104,451,94,2
561,371,204,90,9
251,127,981,23,2
176,789,191,21,8
921,371,971,100,10
735,1000,830,88,5
701,181,899,35,3
502,891,591,50,8
186,786,828,82,7
249,867,656,21,5
17,624,30,32,8
593,485,75,13,3
558,87,705,51,6
704,481,194,63,1
717,675,661,96,6
482,659,483,33,10
462,185,562,62,4
542,466,34,83,10
210,393,859,38,6
491,94,415,37,7
168,990,104,92,8
104,965,60,16,6
950,778,91,11,1
734,498,858,37,3
642,117,809,94,10
284,90,193,59,10
34,492,240,20,6
731,907,966,42,4
964,375,75,61,4
786,56,527,38,4
693,233,889,35,5
893,294,588,74,8
500,484,613,25,7
651,581,887,50,1
195,409,132,12,10
763,865,308,69,8
580,11,736,2,10
604,25,715,50,7
370,63,722,30,5
183,727,33,1,9
585,55,722,39,8
182,656,259,7,3
671,289,134,40,7
572,425,800,78,9
527,568,680,72,7
53,281,590,16,4
320,738,453,29,5
381,512,630,24,3
764,739,481,41,9
889,93,492,87,3
269,952,205,10,4
540,782,884,95,4
748,870,814,83,6
854,461,709,91,10
876,364,258,41,10
377,163,998,77,5
944,726,840,77,6
231,77,512,55,10
118,732,692,83,8
790,870,679,39,10
844,585,968,49,4
719,23,293,91,2
782,494,750,10,8
249,6,226,7,1
608,397,478,38,9
417,515,87,78,10
316,650,567,15,6
289,145,565,97,8
641,624,10,49,10
287,331,302,74,4
54,791,927,83,4
371,840,285,58,2
380,282,633,52,4
183,759,163,92,8
260,588,506,3,5
989,691,5,44,9
854,423,873,82,5
756,205,439,71,7
92,561,553,65,2
620,966,888,92,5
936,759,806,10,2
406,671,555,34,3
746,531,923,98,1
648,413,930,55,7
175,923,538,89,4
72,845,153,13,3
151,855,261,27,1
338,57,113,99,8
103,401,930,15,5
757,543,688,54,2
307,936,919,31,3
954,697,315,80,9
922,536,987,3,3
984,106,473,35,3
272,648,737,7,6
282,162,735,56,1
612,791,617,49,8
232,254,967,8,1
146,743,378,11,8
609,413,318,87,2
106,435,252,69,2
140,412,498,1,6
125,192,295,23,4
564,123,586,61,10
334,187,563,33,4
196,411,868,80,3
39,577,520,30,1
109,780,254,2,3
819,754,466,23,5
806,28,213,18,8
409,830,89,80,1
542,344,228,7,7
586,495,301,45,7
79,759,597,53,9
663,702,201,60,5
612,714,696,84,10
971,205,746,11,2
770,391,472,56,3
710,333,2,55,5
306,795,211,91,3
304,578,518,24,10
86,216,492,62,2
717,42,567,10,8
817,382,295,21,8
542,140,365,68,9
788,564,774,15,1
146,179,110,33,8
426,961,384,3,7
413,235,822,95,5
194,914,569,10,5
497,392,142,79,3
132,23,682,86,4
483,137,282,49,4
406,27,969,25,8
629,163,206,61,8
338,374,82,52,10
488,957,179,43,5
31,524,859,88,9
583,251,621,10,10
693,836,989,2,7
314,32,927,15,3
671,166,877,77,9
26,987,539,87,7
96,173,611,42,5
111,164,235,93,4
853,679,555,7,2
157,79,358,50,10
555,104,378,66,1
202,373,819,95,9
726,417,835,78,7
173,679,422,57,7
770,804,321,3,4
912,999,737,35,9
421,866,997,36,4
957,964,40,49,4
784,774,979,86,6
105,811,933,2,5
466,340,652,24,3
373,157,710,97,7
222,700,201,95,8
304,104,215,10,6
359,916,769,64,4
827,296,885,10,7
65,813,27,92,4
982,292,571,10,2
332,821,96,7,9
645,440,580,4,2
82,10,900,27,3
766,865,29,76,1
862,785,480,78,8
640,816,211,37,1
466,790,417,79,8
702,859,767,65,1
421,7,755,22,4
495,630,795,23,10
699,747,133,90,5
231,526,766,19,3
101,935,563,76,3
677,676,326,4,9
428,539,744,77,5
336,297,259,32,8
27,817,598,1,5
406,522,81,86,4
311,325,404,12,10
604,296,996,56,4
832,976,932,86,7
229,456,191,2,2
708,500,138,91,4
415,982,458,68,1
161,2,580,3,9
51,634,294,11,10
78,856,688,42,8
376,621,854,67,6
434,407,412,26,1
900,455,247,45,3
948,653,588,44,9
695,794,37,32,7
391,697,219,90,9
392,214,531,7,7
196,174,484,68,5
576,789,15,26,10
775,920,867,48,1
160,922,592,76,6
532,827,329,31,5
239,238,295,81,10
963,375,253,44,9
327,199,790,60,7
897,697,240,63,4
137,128,109,82,4
489,291,793,27,10
155,612,767,15,3
92,975,652,26,1
862,889,349,52,2
585,649,826,70,8
660,93,260,1,7
126,176,159,78,9
316,672,891,12,4
117,75,244,12,5
866,364,860,1,10
285,836,843,11,2
308,665,22,45,9
600,813,487,70,10
85,22,888,79,7
16,375,653,98,7
689,390,844,53,7
633,535,399,60,4
809,185,460,36,7
704,41,844,81,7
154,584,691,36,2
798,340,692,14,6
633,864,704,59,2
187,531,696,19,5
93,837,723,29,5
920,564,674,99,8
187,425,1000,94,4
992,3,948,45,3
684,949,188,90,8
802,900,603,54,6
227,346,882,7,2
489,229,855,53,5
869,689,681,1,3
453,308,498,28,9
369,413,173,44,2
169,900,916,36,5
141,462,780,95,4
547,641,640,9,7
655,216,470,47,2
202,871,408,55,9
229,969,756,66,4
123,524,794,63,4
898,118,511,85,7
641,275,556,87,4
510,336,644,49,6
712,26,364,77,8
672,25,8,93,10
81,912,756,93,8
623,310,701,44,10
945,203,725,67,9
889,985,223,76,7
993,638,632,83,10
642,643,59,38,10
789,896,12,77,4
243,941,983,56,3
150,384,760,84,7
277,773,972,92,7
298,486,103,84,1
233,940,270,49,1
716,764,243,52,9
923,918,458,11,10
982,884,563,87,7
616,640,600,31,3
735,432,795,12,4
593,930,672,31,4
462,285,479,90,7
682,432,38,17,8
606,837,180,85,2
64,397,747,24,3
534,258,435,1,7
580,402,416,24,9
3,988,536,83,5
619,513,540,76,9
281,639,994,77,4
677,632,98,40,3
453,744,756,51,5
197,1000,323,34,6
389,775,203,35,8
612,235,812,27,2
601,415,30,83,10
860,896,118,5,5
885,467,396,32,4
97,610,708,89,6
175,316,62,18,7
160,518,673,59,1
926,971,267,18,9
286,296,594,44,4
533,311,121,36,1
130,745,314,27,5
905,858,892,1,5
923,390,662,16,7
425,192,279,78,6
832,505,486,100,7
864,912,90,88,2
984,734,467,38,7
993,362,385,86,7
882,639,193,13,3
984,180,493,54,5
691,757,954,67,9
196,133,653,69,4
794,222,211,94,5
876,92,626,51,8
387,976,308,2,5
574,327,659,11,10
487,863,490,71,7
3,564,204,55,9
729,760,280,8,10
210,749,169,68,5
256,731,600,92,2
251,458,419,69,4
682,899,568,22,7
716,557,704,51,10
426,921,281,17,5
976,85,136,3,4
785,378,981,68,9
670,16,659,77,1
289,269,856,19,9
253,282,471,14,6
79,593,120,14,5
79,681,475,57,4
162,473,385,60,4
843,915,373,16,10
927,286,944,94,4
851,777,648,68,1
615,10,72,71,6
503,675,667,37,4
741,674,236,60,1
406,587,286,83,8
516,640,918,2,8
114,75,648,70,9
370,97,659,97,2
287,451,948,70,1
888,560,621,49,9
292,790,473,18,7
404,503,167,73,1
401,232,217,25,2
707,545,694,66,6
440,842,573,34,8
114,405,559,90,7
989,266,180,26,9
673,79,507,87,10
93,382,439,42,2
173,911,637,52,3
282,978,189,46,10
100,717,364,71,8
973,141,798,46,6
859,40,305,59,9
982,511,846,15,6
35,401,532,66,7
828,417,61,69,4
378,536,535,95,8
900,872,530,36,6
33,331,14,33,3
392,835,791,99,4
342,760,264,48,1
683,136,395,93,1
608,412,141,84,9
394,405,691,73,9
663,81,543,18,9
405,712,297,62,2
863,326,601,45,8
999,147,967,79,3
345,226,422,17,5
187,33,859,15,5
921,381,642,87,5
798,387,125,27,1
954,356,870,95,7
838,742,56,79,4
826,981,958,37,10
492,14,317,40,5
318,350,69,93,10
876,582,148,13,7
110,34,858,49,7
334,343,451,63,4
533,170,871,62,6
486,997,752,9,8
526,985,906,46,10
448,329,297,8,7
720,697,837,74,5
670,348,397,98,2
840,317,677,28,5
87,284,988,54,5
87,545,2,5,3
601,307,544,11,4
281,902,560,45,5
544,787,457,52,1
473,42,553,68,1
801,227,746,2,6
86,25,892,65,1
72,336,860,70,10
15,997,946,29,8
435,965,835,33,8
89,898,11,82,6
740,124,296,32,4
469,255,18,51,1
258,599,818,77,2
7,693,799,15,10
64,56,5,62,5
381,740,783,54,7
412,754,21,92,10
857,658,60,79,7
589,893,243,74,2
304,34,529,76,1
543,722,863,32,7
64,682,535,9,2
883,683,797,86,1
978,756,911,42,4
993,159,656,67,8
683,115,534,74,6
434,788,844,66,6
752,795,474,13,2
913,475,181,99,7
192,645,406,33,6
909,737,252,45,4
881,308,589,75,2
178,659,678,66,8
64,50,38,12,3
512,108,979,10,10
429,786,306,13,9
375,438,65,88,2
205,269,872,83,9
508,148,230,82,6
835,336,491,72,5
347,978,231,71,4
64,718,140,2,7
980,260,68,92,7
875,849,812,79,6
29,232,843,12,5
82,645,968,18,9
642,688,608,73,2
296,514,806,29,1
891,365,960,86,3
440,776,573,79,6
814,671,740,57,8
107,700,571,40,9
688,950,106,46,10
609,261,793,81,6
686,89,274,96,2
53,368,684,39,10
564,580,119,90,2
278,593,873,62,2
153,364,274,20,2
590,508,72,72,7
537,525,239,23,10
886,332,465,6,1
317,144,145,42,6
569,36,416,79,2
450,450,781,55,10
586,58,535,98,10
801,755,272,9,7
155,587,662,82,8
346,344,954,91,4
